country,iso,EPI_score,EPI_rank,BHI_mean,BHI_latest,BHI_trend,CDA_mean,CDA_latest,CDA_trend,CDO_mean,CDO_latest,CDO_trend,GDP_mean,GDP_latest,GDP_trend,GPC_mean,GPC_latest,GPC_trend,PMD_mean,PMD_latest,PMD_trend,POP_mean,POP_latest,POP_trend,TCL_mean,TCL_latest,TCL_trend,UWD_mean,UWD_latest,UWD_trend
Latvia,LVA,55.51,31,0.6803401274106807,0.678859010444217,-0.0002470877793195923,-0.0032936231460663733,-0.0092665860568957,-0.0007456526494882992,8.926392205305394,8.793442605158328,-0.010758615138431307,24.830539794813312,24.974904948799733,0.01441880081256252,10.312213582195639,10.529509316965697,0.024911755561606106,1384.3328280689936,827.94088736908,-78.23816239743428,14.518360315860193,14.445422900555672,-0.010493777461113768,0.011134766189117554,0.0150797571017276,0.0003050526434292064,2.6833381991383973,2.5644854926621248,-0.0137178851241749
Lebanon,LBN,39.67,93,0.6510376668996835,0.649251994105369,-0.00023738935508518542,0.02334703076175774,-0.0062657275963518,0.0003938788087673364,9.926135991593403,9.652446245743285,0.012885266280660647,25.1127564537464,24.904020900911426,0.004164945293625085,9.589976005395561,9.335321328224216,-0.009803814625253197,1514.5654471390308,1557.33124885207,13.971708340830945,15.52284974144285,15.568788001142538,0.013969501930703518,0.0039730493027127205,0.0081022560926355,0.00020354742987358895,4.883140697000631,4.717555378158964,-0.015321507141016478
Lesotho,LSO,39.01,100,0.6649493423887975,0.664732504077151,-0.00019986651072547847,0.010141402357143328,0.0138215482062765,-0.0016914674016972524,7.72827573711123,7.821897016514275,0.008153011515730035,22.450998036567523,22.515056510936244,0.01532840066227034,7.896529932583995,7.862046560907639,0.005097678624921556,880.531557977877,917.95462470401,1.5294243328824781,14.554841904108518,14.653395541615396,0.010228713311948105,0.0010523430568051737,0.001613818018231,8.916255688144371e-05,7.6333540458376445,7.228395382997506,-0.04171278003289558
Liberia,LBR,25.27,170,0.6649224122727444,0.658516221208073,-0.0008656149841934367,0.027506004207899205,0.0274917853205814,-0.002966864628408356,6.5805626379738875,6.727433404815325,0.015476103383366444,22.666577645699746,22.907271449044135,0.03363477109100459,7.358748485185279,7.38889896026951,0.00733112042118625,614.8284723761942,614.66283930043,-2.3089773320977995,15.308468518141243,15.518990937904002,0.026298698053335852,0.011085759760060375,0.0176689861683206,0.0012252759235945572,7.667013790485597,7.18177295200348,-0.056028121140131726
Lithuania,LTU,56.78,30,0.6587380195544286,0.657623430518484,-0.00017185744871077836,-0.00015513482902432962,-1.4293867462964e-05,-0.00033134223778703874,9.515974057629077,9.434155856643086,-0.0056307870123725986,25.351594417819012,25.610237279202913,0.027573670102986718,10.442913845536312,10.739884242773755,0.037169897086375074,1278.1017554323546,586.10849362151,-84.3810556998825,14.90871070747317,14.870375048341755,-0.009597316262656443,0.007970332751843731,0.0101581000416636,0.00023954686071612846,3.0082089015919316,2.980017304419583,-0.010894528672782636
Luxembourg,LUX,74.24,2,0.633559119906716,0.632898541087938,-7.85698238656617e-05,-0.001369968187539811,-0.0342998713125109,-0.004920114264676391,9.187627658086669,8.83079641301429,-0.026552480262382605,25.014474579904906,25.185356356164153,0.021507384404075888,11.786579477471214,11.775673658708444,0.0007317953179752908,446.3611444268932,166.59785124839,-34.4702513586458,13.227904521807508,13.409691887360257,0.02077554572704024,0.0045410631748927415,0.0068132174893303,0.0001661836458841877,1.303879244417986,1.0970919549262308,-0.027113262115753017
Madagascar,MDG,31.13,146,0.7539729523956848,0.749812250039268,-0.0004885625242311195,0.04658714521753602,0.0444599751335264,0.003790407254720989,7.931994282529186,8.400158349210479,0.062415936180580056,24.42699843964717,24.651802807067305,0.024053740931445806,7.40765465845713,7.3966180590253465,-0.00298581850662492,329.72953187170634,274.68524922374,-4.6679710070108245,17.019950930504773,17.255798291718975,0.0270413633020303,0.012927201180235753,0.0150492760098555,0.0009656587222734085,8.383000535920058,7.875270601711092,-0.044813769562296595
Malawi,MWI,33.21,134,0.7022609503715955,0.698366413457899,-0.0005215796202114139,0.0314268860698258,0.0777040243727456,0.004406157897280889,7.0961740818364945,7.524867955731059,0.04630294867517228,23.9508671348141,24.27310145883161,0.04409667039496976,7.329710186574123,7.408711600413434,0.01632521991450951,364.995093878899,298.30556868029,-7.69916542089434,16.621816310249233,16.864996040333896,0.02776027934023593,0.006974783821401148,0.0108696169683725,0.00042186841955412,7.872237287288013,7.505264698521309,-0.03573563351108941
Malaysia,MYS,39.52,95,0.7437894389015107,0.738463848958735,-0.0008457670164024194,0.04025902157678413,0.0201869381489346,-0.0022910283825093025,12.328414564823227,12.52923434038929,0.029899818491631088,27.414485720554534,27.77440104965862,0.04274374456666484,10.179619243647211,10.39997084481908,0.02562078068301747,1544.0337584497265,1319.36795243328,-24.120110918463237,17.234904838633156,17.374460667140763,0.017121978844702387,0.014429254010006498,0.0101787833806527,8.444644812341375e-05,4.7394080673163135,4.7156925965259875,-0.0019273363974806142
Maldives,MDV,25.06,171,0.7805214830963096,0.779180933128263,-0.00022799849677753047,0.07716890650587382,0.0661074667468329,-0.0011769643205058857,7.1240547102142475,7.6990874358587815,0.06957230218980953,22.737037524993177,23.186867905585476,0.04675585724424319,9.81168011078788,10.013867596379272,0.014575761160717161,1027.6592959844122,808.01851830988,-41.86998839513906,12.925415142060617,13.173046985971245,0.03217923283209541,0.0005441937748227052,0.0005186742111178,-4.750609825076319e-05,5.663173517605499,5.292041572491389,-0.05292822833329314
