country,iso,BHI_mean,CDA_mean,CDO_mean,GDP_mean,GPC_mean,PMD_mean,POP_mean,TCL_mean,UWD_mean,cluster,distance_from_india
Equatorial Guinea,GNQ,0.7938351317445913,0.053108723090751445,8.790845682591202,24.31232299101413,10.181388315231253,3205.7587145120065,14.130975264398321,0.0024989756015398107,6.61586923711226,3,6.430661542554681
Estonia,EST,0.6837056801631434,-0.011201694722640137,9.644080803877246,24.60232020106619,10.500332313474715,463.795313276229,14.102016379407212,0.009695945501637248,2.8135783207896847,2,6.5326815579592665
Eswatini,SWZ,0.6977815337373535,-0.0049436975312826,6.918371569485342,23.039611030657465,9.090944942760856,1337.2922413816073,13.94878027913705,0.010413545045326256,7.010211098833251,3,6.745010233469138
Ethiopia,ETH,0.6874910800564713,0.08107393021424641,9.23948073879464,25.8948938691291,7.466014540250541,411.89097860933,18.429485988077754,0.0018603978634326474,7.801048296439505,1,4.341019492086888
Fiji,FJI,0.7695325841337018,0.02641081842503325,7.046912960384099,23.022127072916234,9.29950909683074,814.6595855871185,13.722711127938723,0.001559922380613521,5.566392243689371,3,6.888340942449603
Finland,FIN,0.7333777816538009,-0.01964845677599907,10.793879105311422,26.422489775192673,10.914460564163795,207.35475105130476,15.508047597072567,0.009344163270778316,0.955320288536842,2,6.576251918173094
France,FRA,0.6123236176188758,-0.014188168903467822,12.746976638000403,28.840559715484705,10.834542562609304,413.5647491760332,18.0060368866019,0.002756105344694047,1.5284120951076692,2,4.626447814911762
Gabon,GAB,0.8046973760275233,-0.0054225773501210845,8.613151104913541,24.34455387249746,9.864643592140938,2456.2592633500717,14.479962815088374,0.0009618474873917842,6.918121737003675,3,6.50541321554373
Gambia,GMB,0.6155258791175683,0.04914367189120449,6.239421209293552,22.459541348104025,7.88145551583391,971.5836144203757,14.578464544970526,0.007428505501692984,7.033842758221115,1,6.2665835385087165
Georgia,GEO,0.6602379933107005,0.05092734680549139,9.035649730773764,24.69054079388095,9.549958638944121,1489.8487954272525,15.140656258136984,0.00015907826107723348,3.756448019561618,0,5.144885282949611
Germany,DEU,0.6307913814185104,-0.012607634892990442,13.557118568943167,29.198555909408373,10.973872265823772,596.6394256605026,18.22470083615465,0.004416292648043695,1.5084200664688916,2,4.558069153482237
Ghana,GHA,0.6375249986759097,0.05723537938697089,9.420383126618367,25.71703139441463,8.574875932197456,1256.1500280799637,17.142348180915167,0.009965361717465752,6.9286208720143785,1,4.183957064309284
Greece,GRC,0.6533884822618823,-0.006434680744299642,11.297238651200486,26.656400142830627,10.456298404785047,892.081210864322,16.200130759283255,0.0030704517790050893,0.888219705266919,2,5.250197496949121
Grenada,GRD,0.8059478691782445,0.025850170375146225,5.6205866649238185,21.243113402026236,9.601983429087776,969.3670876467364,11.641206628508447,0.0027614988014622527,4.34348188688292,3,8.471283809891148
Guatemala,GTM,0.7755665096353355,0.035882566581084824,9.573484517681704,25.82666577024928,9.265600710961367,1088.5220255562583,16.56116009083286,0.010248296544929605,6.6387391940419915,1,5.317282430994751
Guinea,GIN,0.7272749515127332,0.053839449448971344,7.930289457135936,24.26563318123883,8.008115559919792,863.8135630038126,16.257854461998846,0.011625050315492004,7.691806998132699,1,5.792894622794536
Guinea-Bissau,GNB,0.7217819879673392,0.06897132924492347,5.084823636828251,22.094456838154613,7.729361901124655,1020.2609056900552,14.365536716172608,0.008813218621870062,8.048884664960845,1,7.169467511855319
Guyana,GUY,0.8679486132365144,0.023135217927257985,7.706152441487339,23.07158320403722,9.51401855358506,1966.4099853323587,13.557646271870151,0.0006053418070918422,5.815949836823196,3,7.495062182996247
Haiti,HTI,0.730495284574391,0.041654250287944374,7.821573289973396,24.252108568436707,8.100540248264972,611.0848493345106,16.151872147875103,0.0042855110303525,7.364728697724115,1,5.513159743682767
Honduras,HND,0.7755555970388689,0.038323968342531635,9.152105989316148,24.670485092761634,8.656548383549119,831.5569528407647,16.01411122989548,0.00802414406390968,5.672679851526728,1,5.638432203563934
Hungary,HUN,0.5640948233304229,-0.012053486526749186,10.809048149030561,26.475204290390188,10.372892306047332,1419.180101026918,16.102343628814115,0.005677974269298069,2.924739957114608,2,4.716990236520005
Iceland,ISL,0.8033126944669999,0.011698634253177496,8.159799948755612,23.741756174447012,11.018371874492582,111.56561875951368,12.72340371095857,0.0035016278291566,1.1174290107760196,3,8.0490609581876
