"code","iso","country","TBN.ind.1996","TBN.ind.1997","TBN.ind.1998","TBN.ind.1999","TBN.ind.2000","TBN.ind.2001","TBN.ind.2002","TBN.ind.2003","TBN.ind.2004","TBN.ind.2005","TBN.ind.2006","TBN.ind.2007","TBN.ind.2008","TBN.ind.2009","TBN.ind.2010","TBN.ind.2011","TBN.ind.2012","TBN.ind.2013","TBN.ind.2014","TBN.ind.2015","TBN.ind.2016","TBN.ind.2017","TBN.ind.2018","TBN.ind.2019","TBN.ind.2020","TBN.ind.2021","TBN.ind.2022","TBN.ind.2023","TBN.ind.2024","TBN.ind.2025"
60,"BMU","Bermuda",6.7439125552557,6.7439125552557,6.7439125552557,6.7439125552557,6.7439125552557,6.7439125552557,6.7439125552557,6.7439125552557,6.7439125552557,6.7439125552557,6.80078059950167,6.80078059950167,6.86255833229017,6.86255833229017,6.86255833229017,6.86255833229017,6.86255833229017,6.86255833229017,6.86255833229017,6.86255833229017,6.86255833229017,6.86255833229017,6.86255833229017,6.86255833229017,6.86255833229017,6.86255833229017,6.86255833229017,6.86255833229017,6.86255833229017,6.86255833229017
64,"BTN","Bhutan",75.8167358396033,75.8167358396033,75.8167358396033,76.402822424183,76.402822424183,76.402822424183,76.402822424183,76.402822424183,76.402822424183,76.402822424183,76.402822424183,76.402822424183,80.1323973554317,80.1323973554317,80.1323973554317,80.1323973554317,80.1464801736743,80.1464801736743,80.146480173577,80.146480173577,80.146480173577,80.146480173577,80.146480173577,80.146480173577,80.146480173577,80.146480173577,80.146480173577,80.146480173577,80.146480173577,80.146480173577
68,"BOL","Bolivia",56.2843706614383,66.133021767606,67.3812811726867,67.382202221375,68.5938089319703,71.499288561716,74.6373923950953,74.660318097189,75.8758020370367,76.3860778598423,76.545339346075,80.8552315217273,80.8552315217273,80.9482504246623,81.5004019117653,81.5004019117653,81.5004019117653,84.953028072147,84.953028072147,84.953028072147,84.953028072147,84.953028072147,84.953028072147,84.953028072147,84.953028072147,84.953028072147,84.953028072147,84.953028072147,84.953028072147,84.953028072147
70,"BIH","Bosnia and Herzegovina",24.1422580109239,24.1422580109239,24.1422580109239,24.1422580109239,24.1422580109239,24.1429518813769,24.1465268647122,24.1789824645699,24.1789824645699,24.1789824645699,24.2271172355449,24.3011157418852,27.0270666077964,27.5896020621741,27.5896020621741,27.6360262324975,27.6398011353209,27.7109626191639,27.7370951750028,27.7401069587608,27.7424392939161,27.9578066552922,27.9826389410781,28.1516210353508,29.1930964771724,29.491652572578,30.6622623797276,30.6632477550352,30.7210942811201,30.7210942811201
72,"BWA","Botswana",82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247,82.2567964173247
76,"BRA","Brazil",30.8694638819749,34.316834853029,38.5600663192843,41.339846205632,46.204867360394,50.4520586234897,58.6903340174353,60.920539027031,64.57280958194,68.839666490428,74.9468064318733,74.9987095989263,75.14791036133,75.3118000676733,75.6842305215113,75.713179677923,75.726410787573,75.7489670324123,75.7721137061937,76.1096953176587,76.1146583760603,76.1744898719053,76.5831350543327,76.5974120327233,76.6226260403843,76.6285877961653,76.712167384206,76.7394545787447,76.7431617045623,76.7431617045623
92,"VGB","British Virgin Islands",7.1226753924182,7.1226753924182,7.5516214973468,31.725428863764,31.725428863764,31.725428863764,31.725428863764,31.9653278486803,31.9653278486803,31.9653278486803,31.9653278486803,31.9653278486803,32.0448386548837,32.0448386548837,32.0448386548837,32.0448386548837,32.0448386548837,32.0448386548837,32.0448386548837,32.0448386548837,32.0448386548837,32.0448386548837,32.0448386548837,32.0448386548837,32.0448386548837,32.0448386548837,32.0448386548837,32.0448386548837,32.0448386548837,32.0448386548837
96,"BRN","Brunei Darussalam",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,"BGR","Bulgaria",15.9261042225819,15.9373995832842,15.9373995832842,15.9423045499813,16.6041553140875,16.9176888020207,60.107942050082,60.1715143669127,60.190307807561,60.232540906391,60.2628988685417,99.8624955876273,99.8624955876277,99.862495587628,99.862495587628,99.8624955876277,99.8624955876277,99.8624955876277,99.862495587628,99.8624955876277,99.8624955876277,99.862495587628,99.8692323486657,99.8692323486657,99.9101434595007,99.937839209618,99.937839209618,99.9378392096183,99.937839209618,99.937839209618
854,"BFA","Burkina Faso",42.939254776152,42.939254776152,42.939254776152,42.939254776152,44.130047448218,45.5954418411397,45.6410052508047,45.6410052508047,45.6410052508047,45.6410052508047,45.6410052508047,45.6410052508047,45.717984411853,54.0956175194267,54.0956175194267,54.0956175194267,54.0956175194267,54.0956175194267,54.0956175194267,54.1010827779857,54.3890384470057,54.4730762367937,54.4730762367937,54.480546473079,55.307857987808,55.307857987808,55.307857987808,55.307857987808,55.307857987808,55.307857987808
