"code","iso","country","VOE.ind.1996","VOE.ind.1997","VOE.ind.1998","VOE.ind.1999","VOE.ind.2000","VOE.ind.2001","VOE.ind.2002","VOE.ind.2003","VOE.ind.2004","VOE.ind.2005","VOE.ind.2006","VOE.ind.2007","VOE.ind.2008","VOE.ind.2009","VOE.ind.2010","VOE.ind.2011","VOE.ind.2012","VOE.ind.2013","VOE.ind.2014","VOE.ind.2015","VOE.ind.2016","VOE.ind.2017","VOE.ind.2018","VOE.ind.2019","VOE.ind.2020","VOE.ind.2021","VOE.ind.2022","VOE.ind.2023","VOE.ind.2024","VOE.ind.2025"
620,"PRT","Portugal",NA,NA,NA,NA,NA,NA,NA,43.6737500853207,46.6644372470018,45.5198908598137,46.2372363172722,52.758111078437,54.0435343315251,49.5598192715423,44.1900500577442,45.0011995038452,48.9420092566437,47.1016648404327,50.9740568293836,46.9036323973598,46.8043323384438,43.77682663115,47.4779178658404,49.6853240127675,48.09358959739,48.7246125154794,48.051437497389,47.8547069402518,48.1673566637006,NA
634,"QAT","Qatar",NA,NA,NA,NA,NA,NA,NA,23.7005051953057,23.1169048554988,22.6555284813574,21.0916826338557,22.070589324378,21.8464701950146,23.0939899574862,18.1736640423293,23.0105630389102,20.9503836396253,22.107662497793,21.2405394800273,20.8038547360062,20.1103605051151,18.7162227674468,19.3711853206817,20.0362647605976,20.4975667990436,20.1279555780405,18.7975479658243,19.4848205620946,20.470395852654,NA
178,"COG","Republic of Congo",NA,NA,NA,NA,NA,NA,NA,6.79330406951898,5.53314975629256,3.34341552454717,2.15171260642175,3.17666922626763,0.979423152580068,0,0,0,0,0,0,0,0,1.19973944146325,0,0,0,0,0,0,0,NA
642,"ROU","Romania",NA,NA,NA,NA,NA,NA,NA,45.7719942929544,50.9489730144347,49.738329710427,51.7448892090814,52.0880470245935,48.8981865774065,48.8272022937796,50.2697083024506,45.5928554636388,41.4921883551333,49.1899305658897,50.9548423260568,45.6114888105105,48.4989124368879,47.724130980844,48.1771550310897,48.0624297278696,50.1450755041139,49.0630694632161,50.1515715212859,50.2824803368175,50.6527598574562,NA
643,"RUS","Russia",NA,NA,NA,NA,NA,NA,NA,55.4414679911967,56.968421491993,56.4888411190836,58.1331640692588,54.6482182141736,59.7832539247936,59.9102508202648,46.8407076434984,56.4999239928426,53.5768709295387,57.3242501766982,55.6923272953158,56.1490808941431,57.3480877841407,60.7587565020138,57.2396212441845,56.6066791547887,57.7438872419986,55.868529265785,56.4253923640616,56.3866408883733,56.65266710503,NA
646,"RWA","Rwanda",NA,NA,NA,NA,NA,NA,NA,21.228958149899,22.1058394759302,18.8828511298555,21.2714964522812,20.2762581766942,16.7407104615964,18.7891654234602,13.0324991654681,13.1531289931693,13.1685921765694,11.6912980722931,9.90086768928757,7.57438083767128,18.5148752072588,17.9813661347965,13.6967983572959,12.6919126498061,13.1445979890339,14.4891067380954,14.4562847425511,13.2041139891524,13.5565528803489,NA
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,91.3032522815213,94.1259618242095,91.2537780259246,89.8750503791595,93.0167033403504,94.7458092828922,93.8451265294114,90.4907204178865,93.901245132224,93.5903076683505,94.3825252992487,94.7054755344944,93.3532746796936,92.465855915327,95.6373958727012,95.6035320581026,95.3684719290961,95.7095589871464,95.4378111595592,96.3178634823646,94.6429193120713,94.3818119483682,NA
659,"KNA","Saint Kitts and Nevis",NA,NA,NA,NA,NA,NA,NA,84.1234283489269,89.8791701461827,85.53550214826,81.6812453146129,87.4337103131011,90.8392403330264,88.289022198109,83.1654096426551,88.5634158427951,88.6871166244492,89.7061662392546,89.8841380006441,87.7819561858327,86.8985367220708,92.2211913105863,91.0064941554129,90.6863157197086,91.9071808440519,91.3091105072046,92.6631089850877,91.2167573764626,90.6894906778695,NA
662,"LCA","Saint Lucia",NA,NA,NA,NA,NA,NA,NA,82.7482005774422,83.2900282298521,77.927119230996,81.2606000127752,82.1852894644948,83.4816160314596,83.8434470166027,76.8844320546416,80.7046672943565,81.8726961699742,82.3174103230976,84.224621009271,81.8999730614404,78.0462742135779,86.9406832363902,87.7822447374255,86.6625190148776,87.3037765192114,87.3818205940992,87.7459832970035,86.5272669826224,86.2824161547067,NA
882,"WSM","Samoa",NA,NA,NA,NA,NA,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
674,"SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,47.471893700155,46.1905071838137,46.8658641783771,47.6394725922916,49.3099241951607,45.6740149188628,46.9490905030286,49.6543246259781,44.81802090662,44.8815550634982,47.4998935596367,51.3706656466555,45.269849399747,46.9406814002452,41.8966227498564,45.0010369374763,44.6707078823457,45.7161842589535,47.7459540298151,46.1845350928291,44.560234817643,46.0463579733881,NA
678,"STP","Sao Tome and Principe",NA,NA,NA,NA,NA,NA,NA,86.566421960175,86.1030101360538,84.9080309867689,86.1844378541872,86.2807536555098,86.2582155617378,86.8255495771436,85.0547482808993,85.7371275390136,87.8244054875463,85.0767541561509,86.4389736415688,84.3314190555132,86.0064301673346,89.4539179486825,88.5462756531038,87.5959000965721,87.5874771668432,87.7286492383658,88.3236757056379,87.4591745626443,86.955290740052,NA
682,"SAU","Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,43.9966969084388,43.0158654907904,42.3518197390576,43.709028499032,43.1539425395298,42.2086290077229,41.5935414152953,40.60512531048,42.0280823619844,41.8574586839379,41.8018936680766,41.8270580794809,41.6806335025061,41.2480505730685,40.5292703239389,41.155201608374,41.8532581701402,41.6392523050182,41.0596359032828,40.9037420780419,41.2948109472794,42.4015224833086,NA
686,"SEN","Senegal",NA,NA,NA,NA,NA,NA,NA,36.054893793214,32.2469927193809,33.6151729312278,35.8151097057706,35.9056590393839,34.2820918922482,33.7320561121816,28.953113891242,30.2956226661631,32.303265228878,29.4386970262919,33.9049221610516,34.0493309232457,31.8651244932752,29.8192044911631,32.0577705029297,32.5733468129599,29.984033748086,31.5080189507889,30.2084151692984,30.7540597372749,29.4311390157817,NA
688,"SRB","Serbia",NA,NA,NA,NA,NA,NA,NA,34.4177132602307,40.5586788863869,39.7425784174109,41.1282631780261,41.0646638492762,38.7713101180743,38.8438877476716,41.1206153907085,35.8532602610949,33.8874844849469,40.7664429289376,44.3501695244241,38.6111559147077,41.6718010975123,37.0048276589567,39.3070414630398,38.4625447259649,39.5484744200287,39.6995970476482,39.9339217605646,38.7800866054464,39.7673642198187,NA
690,"SYC","Seychelles",NA,NA,NA,NA,NA,NA,NA,99.6941022621297,99.4280185474909,99.3655038393513,99.1540759704055,99.1509921314107,100,99.9261915664511,99.9777742854093,99.9738216916371,99.7719911397514,99.9982620961597,98.9848072207,98.3867911984528,98.8798827205213,100,100,99.9206932646457,100,100,100,100,99.4145249939722,NA
694,"SLE","Sierra Leone",NA,NA,NA,NA,NA,NA,NA,16.4795494114568,15.6851430868428,14.665617253269,15.4092877430827,14.3802356171361,16.6444529930584,13.0748630399891,14.64302665444,12.4353418238159,11.7500363606453,11.8758779265663,11.0564663793483,8.467980081626,6.97057373221421,7.59202711264041,9.78283006929223,10.8801735918681,10.4420585279117,11.1790700938969,10.0128888932031,8.04852870666727,10.4261687769108,NA
702,"SGP","Singapore",NA,NA,NA,NA,NA,NA,NA,29.5927720406599,28.3634435981445,27.1623216341512,26.5071680566298,29.5810081034489,31.4226733701715,28.1705149049777,25.8884804996256,28.6199542819346,25.3583963629547,25.0413671345773,24.5946850416465,22.5576723640134,25.671559550239,32.7585836876747,30.6128596058373,30.876773497714,31.7848114047927,31.1830835112108,30.5080438977248,31.1082930590483,31.587523726352,NA
534,"SXM","Sint Maarten",NA,NA,NA,NA,NA,NA,NA,92.3146354019261,94.7251793742857,92.1948403793199,91.2753755871499,93.8659132382128,95.3310091921472,94.7138726145088,91.8249037862685,94.7552845930586,94.3639823636882,95.1018608931683,95.4149219769798,94.2866087977753,93.4745943311728,96.1451366829547,96.4069557112143,96.1086483346858,96.2512078843013,96.0822516172937,96.8272032733939,95.1217080583482,94.9202902558837,NA
