"code","iso","country","BER.ind.1996","BER.ind.1997","BER.ind.1998","BER.ind.1999","BER.ind.2000","BER.ind.2001","BER.ind.2002","BER.ind.2003","BER.ind.2004","BER.ind.2005","BER.ind.2006","BER.ind.2007","BER.ind.2008","BER.ind.2009","BER.ind.2010","BER.ind.2011","BER.ind.2012","BER.ind.2013","BER.ind.2014","BER.ind.2015","BER.ind.2016","BER.ind.2017","BER.ind.2018","BER.ind.2019","BER.ind.2020","BER.ind.2021","BER.ind.2022","BER.ind.2023","BER.ind.2024","BER.ind.2025"
570,"NIU","Niue",NA,NA,NA,NA,54.9941750673997,54.7888549690971,53.4418816656606,52.8406955019027,52.5394243459911,53.439884549223,52.9583406762278,52.8025319877961,52.9801890890178,52.2445520304919,51.5632515376501,51.5171753277912,51.3674601647424,51.3050953429351,51.3707687767429,48.9782928276669,51.5091305484486,51.5875150870644,51.7251556458309,51.5862625679256,51.5834964066878,51.8303930592645,51.7259061056264,51.8827710714615,52.0152879915893,NA
408,"PRK","North Korea",NA,NA,NA,NA,38.9548065772509,37.5469554004394,36.2137715674562,35.91763203191,35.8841263587938,35.7373515732194,35.4943888915412,35.1844694721427,35.325556608227,35.2681327916242,34.612258193779,34.9766232392931,34.7117850429722,34.2261486142601,34.1575881214588,33.5596649478919,33.8597701832253,33.3124935413562,32.9991319934729,32.3549412995245,32.5155894569105,32.4484749796572,32.2044444319026,32.1564036613912,31.9543549297458,NA
807,"MKD","North Macedonia",NA,NA,NA,NA,35.3112337472895,33.8614550941441,33.289278962868,33.7705516135761,32.8524735622035,32.8014269326455,32.8798531876072,33.0170615316329,32.6504175415997,32.4805771549892,32.537487732722,32.570923790581,32.5930055140483,32.2761564457231,32.3370621280829,32.4107792775165,32.2281388926064,32.6024070489225,32.9841711121694,32.6533519854233,32.6326319817265,32.5484059863932,32.6438109331709,32.3161955208242,32.0974458660065,NA
578,"NOR","Norway",NA,NA,NA,NA,80.1278267221962,77.027683709728,75.6041677270489,75.5001826812628,74.8040779788291,74.9352798775373,74.1047711675554,74.2349050095307,73.0640027437085,73.3872442385802,72.9153436691289,72.0361008640236,71.6768879039016,70.8321552679826,70.9030588152459,68.8622201310545,69.4420636384869,70.2870407210132,70.2036670433986,69.7704553824203,70.6459538820025,70.6574209737666,70.4200093166356,70.5677803670585,74.0323839358299,NA
512,"OMN","Oman",NA,NA,NA,NA,46.9476745442581,46.6765962621169,46.5027683376832,46.3707497554842,46.2127553843151,46.128245839218,45.9365635712805,45.7835772344339,45.6884568551556,45.5580013054892,45.4461070208738,45.2938962236979,45.1451845923477,44.9729057955356,44.8547471314875,44.1229471106787,44.5010120358571,44.3791703235142,44.2530864897683,44.1352474872114,43.9961942436384,43.8498349343957,43.63738034838,43.5472270726803,43.8962110503164,NA
586,"PAK","Pakistan",NA,NA,NA,NA,10.843121013283,10.3159111958309,9.67226072483807,9.45582255850669,9.47938315415134,9.24087628031072,9.08072827744187,9.19811418391821,9.11440029905352,8.95023912158116,8.89240882110237,8.81862358696141,8.91192580139438,8.95055927007901,8.80337661945551,8.60313245818089,8.6887241678851,8.65305323041723,8.6998434939853,8.52061860142723,8.55648498063802,8.76452500941833,8.56011711673974,8.6373872029168,8.42742457469656,NA
585,"PLW","Palau",NA,NA,NA,NA,46.2001639919178,45.4258040140798,44.1798936997755,43.4929261980553,43.4138381377132,43.0869192540565,42.8052927703179,42.7839158173692,42.4314769301895,42.4066635434729,42.1191265628696,41.3373063964044,41.2514907045249,40.8959591506476,39.6826085507349,36.7651135729045,38.0336989988059,38.1588652826732,38.228751508756,38.2047132564488,37.8916365169827,37.2874446791337,36.775008215248,36.7624101106213,36.5623305166413,NA
591,"PAN","Panama",NA,NA,NA,NA,96.8932541065887,94.6390143624347,94.10835451685,87.068706805897,91.8027240822175,91.1837271678291,89.2051310940169,88.3960751462764,81.9291911441544,86.9369625205288,75.9373239194001,74.8482412418661,73.6063753334398,69.309242144545,70.7197461296014,74.8059073735692,74.3335700291611,74.3063572550776,73.8049780713569,71.3915855833628,73.0828307997595,71.2014569276827,72.2903309646647,71.7265127622241,71.4139589974971,NA
598,"PNG","Papua New Guinea",NA,NA,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.8667094487535,99.2702730815334,NA
600,"PRY","Paraguay",NA,NA,NA,NA,81.9199937862567,72.6849606890617,76.5210834266592,68.9357896528062,71.5976736095304,72.1197113945839,72.5794649814069,71.1753132734678,69.5798425914342,67.1841532651928,66.6413680244963,66.4046887179932,66.645043414889,64.0783742388989,63.0556357080113,64.1120471570876,59.4880102087113,62.6572693431814,62.0274866119091,61.1944872412303,58.0470265283859,57.9795014563885,58.9840319116289,58.6571690509533,57.6369822461633,NA
604,"PER","Peru",NA,NA,NA,NA,99.2112215650151,97.9600822772723,97.9386658419178,93.0577933243818,93.0985453233525,92.468679509553,93.3927532492258,93.1109050451252,91.0649827231975,92.5685963052889,91.0953292154044,90.5823507142724,89.8716965426268,89.1801984353252,88.8956681804472,90.0679953131315,88.4309772124238,89.2311493228121,88.2181827222706,87.5337005741916,88.1945229528903,87.5116519287841,87.5003970390716,86.2612283031248,85.7771297570999,NA
608,"PHL","Philippines",NA,NA,NA,NA,30.6524504533986,28.8210963660799,28.1005381689913,27.6832794658553,27.6497019292558,27.3091266028333,26.9120625785503,26.6807510696333,26.7366549428839,27.2115256901444,26.5972758185126,26.3853266007212,25.6924228504632,25.8730575370739,26.4587515951511,25.1157015779031,25.3550062620022,24.9086688205061,25.2925964367284,24.9575714074287,25.0031462426682,24.5582016258028,24.3166921062069,24.8610250183226,25.1214804704592,NA
616,"POL","Poland",NA,NA,NA,NA,5.37549145012719,4.89219736343919,4.71694516398376,4.60758165586311,4.35444091722329,4.35620578014875,4.41542872768519,4.29754319764318,4.44147390450856,4.35562730716658,4.4609338810408,4.41425453681273,4.3510833687227,4.35945849783287,4.45328502006687,4.37458245465673,4.42606886984748,4.54651259415963,4.70385052790285,4.72430665530715,4.53200697701737,4.57298281966434,4.59489734765753,4.39715167103209,4.27667456964187,NA
620,"PRT","Portugal",NA,NA,NA,NA,35.5732819428733,34.835990986243,34.2225829057031,33.9174708053604,33.1953116659096,32.7381879327258,32.6743559996749,32.3360928008625,31.8162221431568,31.9200885951948,31.9015851408404,31.958656338901,31.7872494473329,31.6071333872094,31.3980561406227,30.9068650551502,31.3978156090848,31.5746628415952,31.8098477972458,31.8623204372353,31.8220450243109,31.8399754380987,31.8988030225342,31.8078322231557,31.0932536599459,NA
