"code","iso","country","OEB.ind.1996","OEB.ind.1997","OEB.ind.1998","OEB.ind.1999","OEB.ind.2000","OEB.ind.2001","OEB.ind.2002","OEB.ind.2003","OEB.ind.2004","OEB.ind.2005","OEB.ind.2006","OEB.ind.2007","OEB.ind.2008","OEB.ind.2009","OEB.ind.2010","OEB.ind.2011","OEB.ind.2012","OEB.ind.2013","OEB.ind.2014","OEB.ind.2015","OEB.ind.2016","OEB.ind.2017","OEB.ind.2018","OEB.ind.2019","OEB.ind.2020","OEB.ind.2021","OEB.ind.2022","OEB.ind.2023","OEB.ind.2024","OEB.ind.2025"
204,"BEN","Benin",NA,NA,NA,NA,NA,NA,NA,69.4473686140723,67.9052583377228,66.7207263828948,63.3392090661837,61.7260777786366,61.0599900916301,65.3695120967646,67.8331311380871,61.8894078515483,67.2126700717334,66.3008088627874,66.9692507621398,66.1677900736244,72.3969078905573,66.7006257951154,65.010339956661,61.5350734252379,58.1347864322749,58.1113184987463,63.2786408172714,NA,NA,NA
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,10.0983235328729,3.32976711009069,1.68202048110933,0.972432201013234,0,6.15153853027574,10.9689000196321,0,10.0189143130688,7.38715705197706,4.28966567398622,8.76960711391173,10.955658058923,14.6131088790503,1.20193824774879,0,0,0,3.00915211923052,8.27260282473678,NA,NA,NA
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,33.2693733522486,32.8400412959405,23.9316780974141,24.9444577088432,28.8026438237068,27.6079517299964,21.8600057930701,25.9500774974719,28.0549461417914,18.7933075430492,31.9303645463007,24.6736459649743,25.245029634526,27.3558213282483,24.5796128635831,15.0015457675267,16.8591516919636,15.9756870494049,15.1009022797086,15.606162174909,NA,NA,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,27.0670564123396,35.2311572091797,28.759349717501,29.1333729285795,28.7385252295174,26.0284651038022,30.7526205338811,27.8876270324396,32.4063417394909,28.2480901482079,28.5453700932981,32.9653827532692,34.5849371379128,32.8734196446634,22.7666498951117,23.9743860278292,18.5488950227845,22.6061494992683,24.5592882790415,29.595843348154,NA,NA,NA
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,68.831962736504,72.6695360510925,68.7624313212777,76.5989367316088,64.7327698190287,65.8601726876909,72.3063417754561,65.9809337423026,67.1288657051272,64.1454354755712,65.4264292642188,71.5609311125798,65.3604495730329,68.9216224864349,66.4232665576001,64.6315177068859,63.0550465637167,65.1494681108971,64.9454029811078,61.7265270488248,NA,NA,NA
76,"BRA","Brazil",NA,NA,NA,NA,NA,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,41.1032540078176,38.2327789209144,41.1064090862796,40.9505997614559,44.2686194015912,35.7166244407295,39.5965775403188,42.7133406498991,40.043055314045,41.3240789496259,37.6393623406226,44.3117438612792,45.308836912405,47.5672362822759,38.4915582662821,28.8885438034841,32.1285590959356,33.1644778066873,33.6711598272087,34.2620065415548,NA,NA,NA
96,"BRN","Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,81.4179533722971,80.588984582588,78.1019643917025,76.9840621732969,82.0719990003846,83.0402789876298,71.7830114226884,87.54263773701,81.8397310179635,81.4633118821317,82.9390950126289,80.6103195028534,79.5740277607252,82.3457422912679,83.6757776522005,75.4683381903096,68.4317536989164,81.375774817217,84.9297008252741,84.1640524139731,NA,NA,NA
100,"BGR","Bulgaria",NA,NA,NA,NA,NA,NA,NA,51.6779020916723,54.4135094572125,48.6629296609171,50.9982037819066,46.3328769916038,46.7413392569576,51.5026667975069,50.10079311392,52.6975737294495,48.3812573020313,47.2341718167497,55.2922170261603,51.1511329028035,50.9933893964158,46.0811385811284,45.7874907783677,41.8330974265559,44.0285518730678,47.1880019819596,48.8335082952015,NA,NA,NA
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,73.5454455738547,73.4296397917152,72.2760521618284,69.2713080113112,67.9421092647007,66.8384338186751,70.4057778896605,73.6539000610946,68.1098055518478,72.6745861929571,73.0045885713287,72.5566923586381,72.7623850881863,78.2781558415801,74.4279030230341,72.6629770396597,69.7282690555764,67.5652978224502,67.7058872999357,72.0600936045597,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,70.476988177917,74.6644615458234,72.1272467624003,77.2932605113619,72.8998050100445,74.9931722077769,73.849597120357,73.0637480966765,73.0810121953239,70.6337362759662,72.3991038992108,79.738627910024,76.0789423380891,69.9112760769291,77.2200037637965,77.9846179461091,73.953668507508,72.1685200596901,70.5336768148187,70.2740537498851,NA,NA,NA
132,"CPV","Cabo Verde",NA,NA,NA,NA,NA,NA,NA,12.0164417572963,17.439801096139,13.3423125682702,16.8118100429724,10.7706793373776,16.5089659074512,16.5200405048346,20.062345456682,13.6649614133148,20.3415034241178,15.5659354489814,16.2385128679765,18.3876027389499,18.6409824761409,16.5043762283001,8.36739718987874,6.767641676903,12.9173684161222,10.9251013231719,14.858501822292,NA,NA,NA
116,"KHM","Cambodia",NA,NA,NA,NA,NA,NA,NA,65.8427612120338,65.4115981630054,63.7776090607341,67.5508412697413,66.1911203630662,63.1469807223894,69.1890640213362,67.3738926165066,58.2903124882146,70.2459335678911,63.950429890715,66.8373697625225,64.9352972961125,64.4239848480312,67.6531134258305,60.4238076184614,55.0989667764968,56.1477903403402,58.1871331249045,64.8938993843255,NA,NA,NA
120,"CMR","Cameroon",NA,NA,NA,NA,NA,NA,NA,90.7849748465011,90.5433097595409,86.5933544847836,87.8831546549645,80.635653463541,79.4211309526038,87.9565747728751,84.7449838869553,86.0648372938358,87.2069687388439,86.4391345545428,87.1554143247187,87.7584145467962,85.5849353369855,85.6159563829605,85.1884796066077,84.689951575822,77.5196596390584,82.3952701718127,84.0638535052194,NA,NA,NA
124,"CAN","Canada",NA,NA,NA,NA,NA,NA,NA,42.2390923635735,46.7383807946119,35.4070557899746,33.9305984942608,33.5936155469697,35.6953030945543,35.5258098934311,34.1061503167064,37.4052112336358,36.318686144294,22.2107008517556,32.4112541297558,33.5912808097204,35.5306923842994,32.2344243757194,30.934413945054,28.9367103175139,35.6884820256719,38.1443174409691,41.0516382647654,NA,NA,NA
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,14.0185262766555,13.6163623412901,16.4645889467299,15.5009509494139,20.1576423825049,16.7232683586894,17.4910374831911,13.3984227875666,18.4776647857042,18.9416514078927,21.9818822451509,20.2435771375436,20.4955166126212,19.7165226569144,17.1568873854195,14.0786779741439,13.1590091082556,15.2555364497761,14.2655391788219,16.6818768985824,NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,93.5299712902934,94.7859820901635,90.3667776186836,90.9464198413869,85.6829641704792,81.733014940215,92.1387704575777,87.299296926796,86.6102324239936,87.3919733412492,94.8255583729625,91.4252450535142,93.4067222374899,83.8786807948873,84.9019771547604,92.6315798275318,89.2086030603842,84.0501440989047,85.7999293061892,88.0379532613677,NA,NA,NA
