"code","iso","country","HFD.ind.1996","HFD.ind.1997","HFD.ind.1998","HFD.ind.1999","HFD.ind.2000","HFD.ind.2001","HFD.ind.2002","HFD.ind.2003","HFD.ind.2004","HFD.ind.2005","HFD.ind.2006","HFD.ind.2007","HFD.ind.2008","HFD.ind.2009","HFD.ind.2010","HFD.ind.2011","HFD.ind.2012","HFD.ind.2013","HFD.ind.2014","HFD.ind.2015","HFD.ind.2016","HFD.ind.2017","HFD.ind.2018","HFD.ind.2019","HFD.ind.2020","HFD.ind.2021","HFD.ind.2022","HFD.ind.2023","HFD.ind.2024","HFD.ind.2025"
492,"MCO","Monaco",88.2905746246159,88.7789801872151,89.1771632014808,89.4049331152274,89.9144020387596,90.3797905325183,90.801087315876,91.2146434257818,91.552029495816,92.0914707096602,92.687924651995,93.3402942438591,93.999783841743,94.6388473986844,95.2144961409151,95.9868057200754,96.8544472097423,97.8117677895534,98.8488732311804,99.6577492348405,100,100,100,100,100,100,100,100,NA,NA
496,"MNG","Mongolia",1.32771345980353,1.5663143217983,1.94246476729079,2.35416844800217,2.69677061074177,3.00725643390952,3.49902027943766,4.12201244338351,4.8296003722086,5.52192265344448,6.46955813518491,7.73697835647422,8.93990961990525,9.97344189610413,11.0116211285247,12.0857976028682,13.5050655018161,15.0952837796977,16.7810373470202,18.0539525992174,19.2437384575805,20.3897383983263,21.4078396189005,22.4994522123383,23.4498409154454,23.4241704700002,24.0842720345817,28.374117397596,NA,NA
499,"MNE","Montenegro",16.1001888115616,16.1514429834497,16.3188497230107,16.6943255344087,16.9730215513225,17.3747215307275,18.0084562799986,18.7751174827219,19.6846199997174,20.6555336920103,21.5914086895215,22.6512541654737,23.7417901149254,24.6400797101191,25.5564947156241,26.3420011973832,27.1738598474001,27.9755343639041,28.7030783214287,29.4744341295024,30.4091772949543,31.3436631918923,32.239334169639,33.2623245756486,34.2333738545899,35.2655213333747,35.9630428370626,37.2901539848446,NA,NA
504,"MAR","Morocco",16.3677634013071,17.0348911393489,17.6560725566158,18.2922438689294,18.9536585582946,19.7078131758508,20.4844372798911,21.2891467398358,22.1547011423231,23.0925424503438,24.143221905092,25.3110656748404,26.6307372971698,28.0287670906604,29.4152507070864,30.8556717264544,32.3886404915452,33.946079693274,35.5616954640915,37.0338576542031,38.4516778105791,39.7455744215671,41.0488469178806,42.360905240578,43.6574488994856,45.0633748206486,46.4253596341835,54.1831078480797,NA,NA
508,"MOZ","Mozambique",5.06419036204686,5.24759448318537,5.42343078790107,5.60946535224363,5.78186793770263,6.1803147305681,6.41907350444792,6.69128040662645,6.82319145506389,7.03065980721489,7.08745538920697,7.31782141055746,7.25485926261578,7.39691403382881,7.54633501283558,7.67478143175695,7.68854806189557,7.77185343840344,7.98332559326593,8.08602396436764,8.23815496826847,8.36538465440135,8.48275098229266,8.37962810955545,9.03409652668623,9.2462252876775,9.19417093844474,8.84808864474368,NA,NA
104,"MMR","Myanmar",0,0,0,0,0,0,0,0.236751618517474,0.479828014143138,0.745693683835498,1.09122262596323,1.45111598437343,0.98581474188174,2.10062068020557,2.44083015681977,2.79594849438141,3.06068304292097,3.21245266628252,3.47944816391478,3.80870280935298,4.11955035071102,4.62934369553649,5.02447258005301,5.35914457012586,5.81649835006471,5.69179836307499,5.74220441084532,5.95775960266594,NA,NA
516,"NAM","Namibia",7.76049277519309,8.06339578537496,8.35106737025278,8.60233341781107,8.80055842060692,9.12699055369434,9.25042393815038,9.47869967441477,9.93410508211838,10.2860102830938,10.7422242910057,11.0023140462203,11.3706318420542,11.8320291115306,12.2842740452832,12.7529990264827,13.2871304273075,13.8486388255937,14.4512058863748,14.8815107394399,15.3482565331945,15.8823493394761,16.2659096773323,16.5784083940642,17.6343823562031,18.2504580184987,17.8685936716874,18.2036612267431,NA,NA
520,"NRU","Nauru",19.5053031520066,17.8683212399632,16.3983535340346,15.3555185530492,14.7859192913561,14.5031326442337,14.3047703828216,14.1790848069761,14.095949030606,14.1197905384851,14.3306588882374,14.7353276661206,15.351153124862,15.998628331519,16.638105878139,17.3813795629433,18.3146933064674,19.316079741185,20.406474407104,21.4249733252381,22.4665542832405,23.7297006137738,25.1649693176043,26.6222272894807,27.7858809793815,28.2827373536502,30.0574467480593,33.0104588369636,NA,NA
524,"NPL","Nepal",2.83788727668956,3.08190816046086,3.36040255804818,3.65724562134201,3.93790755658424,4.20262610759175,4.4425326155383,4.63546013785724,4.8965111872452,5.09704477003825,5.42321350950493,5.79174663877848,6.23990924453693,6.62653069221869,7.10786749111615,7.41892177688203,7.63899608771615,8.01817055055926,8.33643698385561,8.84948329904624,9.11466904339679,9.52494799510519,9.84108474690071,10.2194988126149,11.1823319228096,11.4004781514438,11.1726337575489,11.0924155946138,NA,NA
528,"NLD","Netherlands",89.8109036272569,90.0427542281559,89.8936580057709,89.5975109643847,89.4225331221529,89.0293018478959,88.2694954341178,87.7374301934123,87.678902634466,87.8439511628257,88.4975785950519,89.2440608607023,90.0344834057841,90.8688530951649,91.6650825868097,92.3784768475737,92.9970915371081,93.7330107944199,94.6263114392367,95.0992405257429,95.8162674719352,96.63369050879,97.4433027952912,98.3622536608072,99.1876302027969,99.3854430491116,99.2028450762412,100,NA,NA
