"code","iso","country","SOE.ind.1996","SOE.ind.1997","SOE.ind.1998","SOE.ind.1999","SOE.ind.2000","SOE.ind.2001","SOE.ind.2002","SOE.ind.2003","SOE.ind.2004","SOE.ind.2005","SOE.ind.2006","SOE.ind.2007","SOE.ind.2008","SOE.ind.2009","SOE.ind.2010","SOE.ind.2011","SOE.ind.2012","SOE.ind.2013","SOE.ind.2014","SOE.ind.2015","SOE.ind.2016","SOE.ind.2017","SOE.ind.2018","SOE.ind.2019","SOE.ind.2020","SOE.ind.2021","SOE.ind.2022","SOE.ind.2023","SOE.ind.2024","SOE.ind.2025"
191,"HRV","Croatia",NA,NA,NA,NA,NA,NA,NA,21.222065749805,22.2188830091806,21.9264764609416,23.5044268785241,25.7333257395069,27.4729069335673,30.4042109064187,33.1692666529529,33.1918300118382,34.6136187840483,35.8138005408391,36.4005355559451,37.0917816748395,38.1923156007367,39.2674272511685,39.7632973537381,41.1380525686954,42.7547945721916,42.6332446086306,42.3923846338772,43.0170780129088,42.2561328898245,NA
192,"CUB","Cuba",NA,NA,NA,NA,NA,NA,NA,44.3214082734496,46.939765755295,47.1998288691131,48.1661324865449,49.4799508759417,50.9351196420031,52.1055407001511,54.1457013026695,53.8458802165832,53.9620404731719,54.3441224208817,53.9220158973335,54.2422294572741,55.2223899551559,57.4186826269117,56.8438827337869,56.678837586932,57.6453018954588,56.9427181371916,57.2756841121105,56.8286304947605,57.6812001524117,NA
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,48.1967426039642,48.2214203584379,45.6118352565021,49.0674415117599,49.3832386259844,50.1522048077848,51.3034169308686,47.4078501564744,49.0673976066018,49.9947308556602,50.8975612850942,52.0415736245286,51.6717806077418,48.7817371158905,50.0784879363983,51.3111542971056,50.4706911530044,51.8669007406305,52.7481708335224,52.0023657524349,49.7445075181483,50.7626116158728,NA
196,"CYP","Cyprus",NA,NA,NA,NA,NA,NA,NA,21.6482736529823,22.3461641070474,24.1833942023024,24.849746699445,24.7634722459674,25.7193636694805,26.8154849829025,26.3091656986448,28.6504254228497,28.8956051798933,30.45961970493,31.2097194694698,31.232275820241,31.5349166473719,36.7223683112415,38.4880858940355,38.9193530209644,39.7161923078981,38.8587801088142,40.9206879465519,40.5811319624733,40.9844090017739,NA
203,"CZE","Czechia",NA,NA,NA,NA,NA,NA,NA,22.875456431944,24.8737327169936,23.8770087278118,25.4197622239735,28.2131094900233,28.6925476352975,29.9399936568043,31.1262624996789,32.0774307481354,33.6930976132231,34.1213626233849,34.6436135689506,36.0309306249449,36.7495639406457,38.4787985644992,37.7699215345989,40.2314491626635,41.6392670050554,40.9838705702528,40.9019229322505,41.6422321090084,41.3521078481017,NA
180,"COD","Dem. Rep. Congo",NA,NA,NA,NA,NA,NA,NA,27.8846035959034,28.1019695094865,27.5869970333031,27.8267349912723,27.8477091650877,27.523164449609,27.6982292533868,27.5903388963415,27.7047802302691,27.9800271490705,27.8218191163448,28.2550532859928,28.4275495866609,27.6588243065715,28.3211549328851,28.7420890490898,28.4672177044394,28.5977247743762,28.6535618238,28.5413937281003,28.5457490726382,28.4204417331663,NA
208,"DNK","Denmark",NA,NA,NA,NA,NA,NA,NA,49.0189684048857,51.0707924097918,50.5311804739593,51.3723254316405,53.6973101322891,53.9940218083471,55.4415743532293,56.5668399574593,57.0663922733561,59.0022831880844,59.4613849431232,59.3614173915457,61.1998074978136,62.1587318179439,64.8435164127838,64.600250235078,66.4842382582334,67.9012653981331,67.7843668728386,67.123680057623,67.2914673553583,67.5245897385271,NA
262,"DJI","Djibouti",NA,NA,NA,NA,NA,NA,NA,63.0844442334123,61.964114219151,61.6986006339659,62.4583698787354,61.7701421887607,60.533017228424,61.635977263463,59.9659411135134,60.3230657561234,61.3523392708668,60.8692882944298,62.513644421373,61.4194904399346,61.6238678694198,60.4588723245323,61.8118518206202,62.0324754240904,59.7692241989314,59.8623068841068,60.8664575711858,62.2953698708817,62.8402030862234,NA
212,"DMA","Dominica",NA,NA,NA,NA,NA,NA,NA,75.4342699230968,77.2597379541361,74.1594707817287,76.4343026550698,77.5183207688285,79.5064140911907,80.0126995553361,75.1520952175727,78.0024720065523,79.3990320023935,80.2586043550497,81.1825955518831,80.1638450397933,76.7933681837253,83.9246046144463,85.6998715259427,83.8317213832805,84.680630249568,85.5484822788063,85.2249960486759,83.216815530329,83.1524590116844,NA
214,"DOM","Dominican Republic",NA,NA,NA,NA,NA,NA,NA,41.9857294534363,44.0286174058307,44.8471165524256,45.614208047888,46.8710776117522,49.2857395159329,50.6070639844599,51.8564879633756,53.1994688750722,53.6938178467176,54.3376540726155,53.9417630244394,54.6396307939152,55.3313570014974,57.1617132906588,57.8715697575266,57.3074965458247,58.9277908980623,58.8316178882867,58.5262440677829,58.2252893652643,58.8205541858123,NA
218,"ECU","Ecuador",NA,NA,NA,NA,NA,NA,NA,61.3310279580319,62.5849376291772,64.2123788232821,64.974610950046,65.5865200526499,66.275097931199,66.9499402991511,68.2976970856016,68.3692633720681,68.4759960630101,68.6069882142245,69.0123865331726,68.5824501974342,69.1217815408007,69.8107328858712,70.1332408276339,70.1785574006756,70.0760354123456,70.2827710713817,69.4375044956393,69.3166198025696,69.2205827672046,NA
818,"EGY","Egypt",NA,NA,NA,NA,NA,NA,NA,7.62013504538753,7.27176271098628,7.04057993723303,6.76542939264253,7.47578691925102,7.52925177349631,7.72215865308988,7.99674055111089,8.5088658412792,7.90876275727067,6.88913636000866,5.67855481541847,6.42495450678473,5.88630751544821,5.30327533259988,5.42747902314063,4.78872223930617,4.0431341826765,3.66119895390823,4.20295828729513,3.16560396681376,3.01157368017408,NA
222,"SLV","El Salvador",NA,NA,NA,NA,NA,NA,NA,31.2308771949669,31.5983713299642,32.4722303854525,33.7215089924818,33.1308841380485,34.7173773538038,32.9127813577964,35.0616238082632,34.2391522882656,33.8918279308747,34.3698565445037,34.4625128901237,34.5728955355613,34.6841544150377,36.058848276953,35.5541713558732,34.5863016444563,36.1028845250069,36.0618380269541,36.1219876090538,35.0639349667414,36.2176144276108,NA
226,"GNQ","Equatorial Guinea",NA,NA,NA,NA,NA,NA,NA,68.5712625334967,68.6100874301651,67.4030686565913,67.8318642891786,67.6651159511516,67.7452581908684,67.3392676574948,67.1559742857101,67.3302309029141,66.6956517724468,66.1229303782525,66.4060408745943,65.706626412509,63.5787538411969,66.6749094333246,66.5146632402839,66.2907983942729,66.6747465937617,66.2840768289075,66.6879877041674,66.2171309988926,66.1998573843466,NA
232,"ERI","Eritrea",NA,NA,NA,NA,NA,NA,NA,70.1727982681914,68.5122578353666,68.8376838508943,70.0516464293821,68.491158823164,67.1734226194769,67.4357787002577,66.5478146528479,68.3338858662489,67.7759752442114,67.8736316833801,67.5877283377573,66.1412640363153,67.575463276185,65.104861804496,66.2439636564968,66.0338361589451,63.5755916999742,62.8775716881429,63.9923804378605,64.7502744183667,66.011152194994,NA
233,"EST","Estonia",NA,NA,NA,NA,NA,NA,NA,32.7375100753845,32.1435064256366,32.4496584048007,32.7899740094586,34.1300369476491,35.3930559183493,34.6870104923205,34.6257575857452,36.2136915274274,36.6165253524363,35.1609987032634,35.7353326255138,38.2552233201542,36.439980132001,38.0777686550185,36.8402172767098,37.9192965352466,39.7874874295469,38.3586481468532,37.7790828187303,36.851566926877,37.7492220085627,NA
748,"SWZ","Eswatini",NA,NA,NA,NA,NA,NA,NA,40.9164023661866,38.7498924031065,37.6941240897148,37.0160969440688,35.4805244425258,36.4708668832837,36.9800316758001,36.4313309310763,36.8421973463549,37.464520550329,36.2684540716223,35.5858858683294,36.4266384611087,37.6914482689235,38.7590773422162,38.8393074615378,37.4559843517973,38.0451792343655,37.2857813968849,37.0054069214637,35.4944569376393,36.3963293347228,NA
