"code","iso","country","COE.ind.1996","COE.ind.1997","COE.ind.1998","COE.ind.1999","COE.ind.2000","COE.ind.2001","COE.ind.2002","COE.ind.2003","COE.ind.2004","COE.ind.2005","COE.ind.2006","COE.ind.2007","COE.ind.2008","COE.ind.2009","COE.ind.2010","COE.ind.2011","COE.ind.2012","COE.ind.2013","COE.ind.2014","COE.ind.2015","COE.ind.2016","COE.ind.2017","COE.ind.2018","COE.ind.2019","COE.ind.2020","COE.ind.2021","COE.ind.2022","COE.ind.2023","COE.ind.2024","COE.ind.2025"
566,"NGA","Nigeria",NA,NA,NA,NA,NA,NA,NA,29.9936311148602,28.1564965299684,29.9281863879965,29.8770563808415,27.5090471143141,26.9291810930114,29.6574950355691,29.1088519842079,27.9721046829235,27.7083876053699,26.49092537147,27.0649987036439,26.12363593316,23.608553703375,23.2595021839204,22.4727062438249,21.1235658760468,21.3488156180778,20.117785399958,20.7162882038623,19.7318531684753,19.9893480749693,NA
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,94.2693340299811,95.2700418195036,96.025834293889,96.7763044777687,95.5560700778595,98.5447722026108,100,99.7865575293849,100,100,100,100,100,100,99.58025875578,100,100,98.9755435857119,100,100,100,96.8719492121618,NA
408,"PRK","North Korea",NA,NA,NA,NA,NA,NA,NA,0,3.0088929616132,7.4767126438288,3.17081550459568,0.837478028808079,4.04077958142997,3.42226023228618,6.65892311907632,6.34457384329821,6.6762125155191,6.21468450973617,3.30260707505168,3.2360372698172,6.92521373222191,8.23826651642858,7.71299171080237,6.07877102209524,7.16939860453637,6.62997146354249,8.48178550218327,5.9092554523276,6.53909326683521,NA
807,"MKD","North Macedonia",NA,NA,NA,NA,NA,NA,NA,45.7185569002813,48.6683749684795,46.7336062826244,48.3470114280349,46.8457402874615,52.2189084623851,53.3254999262633,54.0308162245182,50.5552950026158,49.6026895469657,55.0682234337013,56.5403274714745,54.9523058254183,58.1247176411232,57.2098098874811,59.0016312638484,59.1742193332483,59.7066066522226,58.1398786542726,61.6114247622874,60.1834070520556,58.542531513396,NA
578,"NOR","Norway",NA,NA,NA,NA,NA,NA,NA,52.6723583264194,56.6775030052479,58.4308389073671,56.9183130309593,59.5614249268781,60.8030197183845,61.7669841009171,60.6356362151321,62.4063839680949,61.7371444361439,63.3288259684223,63.5353946929443,64.6243680901674,64.5313083559024,64.985757750369,64.6186027912806,65.27372916066,68.0719869301225,64.257757305364,67.7673645530055,63.2488278057963,64.5528247946262,NA
512,"OMN","Oman",NA,NA,NA,NA,NA,NA,NA,62.1239195954829,62.2367179689191,62.3971118291146,61.8415198313316,61.1793546700891,60.9226931556174,62.4459304903408,60.9692457561949,61.9036887443145,59.8841006143229,60.6906633394459,60.9139028596076,59.015984941682,58.0606069455533,54.3656583275203,54.2415465365682,54.6549243361574,53.3279956867164,51.9504609692753,52.1019317693496,52.6497395724633,52.0034233171618,NA
586,"PAK","Pakistan",NA,NA,NA,NA,NA,NA,NA,6.89728748086013,6.16884402301746,7.43640868459435,7.31701707965581,4.69477589270952,6.14472814043006,5.7938357526714,2.47521541754733,4.56213017385022,4.25157517221533,2.82481975363901,2.64054424309816,1.76578339593715,0,0.621520855543864,0.131623102456089,2.98014706261118,0.237081027949856,0,0,0,0,NA
585,"PLW","Palau",NA,NA,NA,NA,NA,NA,NA,82.8251718025142,81.2696390722794,83.1652602970216,81.4091136277235,85.1888391907801,91.2057035237765,81.8235923609282,89.2648668986741,89.671438726597,84.9240551022822,86.8241040456151,84.7797998345014,79.0578262272605,89.3851379732087,91.9747817439089,87.57410336765,82.9918113249473,90.2405474179857,92.0554529367622,93.0302711680231,88.5116256944831,88.2886285194176,NA
591,"PAN","Panama",NA,NA,NA,NA,NA,NA,NA,67.057128617071,68.3451848590714,67.2128580412044,68.3540111411567,67.7656406188069,70.5523106333689,69.6063367577616,69.1665753093114,70.3266400894533,67.799821474491,66.8874315350321,68.4801973933029,66.3968920072335,67.6078459405398,67.4074543909856,67.763115095732,67.4985547375894,67.8403183522882,68.2380947477688,69.7362353430232,67.1235018899554,64.7510995704232,NA
598,"PNG","Papua New Guinea",NA,NA,NA,NA,NA,NA,NA,77.5115982080229,73.7244688650068,80.2880980910072,78.5868708508699,78.6046168988937,80.9118163869699,81.0161234108371,75.5092995121177,82.805035454258,81.1296961450544,81.0536401979556,78.9905230155956,71.5146585626356,80.7696392683279,78.5954047483653,79.0567897970924,79.2885272789408,82.0434418040149,80.2680589310742,78.0374685305484,81.0700935305456,79.3279827233004,NA
