"code","iso","country","PRS.ind.1996","PRS.ind.1997","PRS.ind.1998","PRS.ind.1999","PRS.ind.2000","PRS.ind.2001","PRS.ind.2002","PRS.ind.2003","PRS.ind.2004","PRS.ind.2005","PRS.ind.2006","PRS.ind.2007","PRS.ind.2008","PRS.ind.2009","PRS.ind.2010","PRS.ind.2011","PRS.ind.2012","PRS.ind.2013","PRS.ind.2014","PRS.ind.2015","PRS.ind.2016","PRS.ind.2017","PRS.ind.2018","PRS.ind.2019","PRS.ind.2020","PRS.ind.2021","PRS.ind.2022","PRS.ind.2023","PRS.ind.2024","PRS.ind.2025"
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7777777777778,NA,NA,77.7777777777778,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7777777777778,NA,NA,77.7777777777778,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2705332222222,NA,NA,30.2801536,NA,NA,NA,NA,NA,NA,NA
246,"FIN","Finland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.5949225333333,NA,NA,58.9759224666667,NA,NA,NA,NA,NA,NA,NA
250,"FRA","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.6353944666667,NA,NA,59.8460037555556,NA,NA,NA,NA,NA,NA,NA
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5957518444445,NA,NA,32.3090369777778,NA,NA,NA,NA,NA,NA,NA
270,"GMB","Gambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.4044141111111,NA,NA,54.9825733333333,NA,NA,NA,NA,NA,NA,NA
268,"GEO","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3021150444444,NA,NA,42.0820174,NA,NA,NA,NA,NA,NA,NA
276,"DEU","Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7870999777778,NA,NA,65.3705022444445,NA,NA,NA,NA,NA,NA,NA
288,"GHA","Ghana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.8389120888889,NA,NA,64.8879009111111,NA,NA,NA,NA,NA,NA,NA
300,"GRC","Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.4718056666667,NA,NA,50.0544033777778,NA,NA,NA,NA,NA,NA,NA
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7777777777778,NA,NA,77.7777777777778,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.14923271111111,NA,NA,21.6498080222222,NA,NA,NA,NA,NA,NA,NA
320,"GTM","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.2277358888889,NA,NA,49.4519584888889,NA,NA,NA,NA,NA,NA,NA
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7777777777778,NA,NA,77.7777777777778,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.6080288222222,NA,NA,81.413969,NA,NA,NA,NA,NA,NA,NA
624,"GNB","Guinea-Bissau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.0176127555555,NA,NA,76.3386901333333,NA,NA,NA,NA,NA,NA,NA
328,"GUY","Guyana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.3597559333333,NA,NA,51.3827204222222,NA,NA,NA,NA,NA,NA,NA
332,"HTI","Haiti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.3439358222222,NA,NA,98.2605529555556,NA,NA,NA,NA,NA,NA,NA
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.0400597333333,NA,NA,59.6972968888889,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1950694888889,NA,NA,41.3476546,NA,NA,NA,NA,NA,NA,NA
344,"HKG","Hong Kong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4505355111111,NA,NA,19.2222999111111,NA,NA,NA,NA,NA,NA,NA
348,"HUN","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.6946586666667,NA,NA,75.6193352222222,NA,NA,NA,NA,NA,NA,NA
352,"ISL","Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7700785111111,NA,NA,46.7769804888889,NA,NA,NA,NA,NA,NA,NA
356,"IND","India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.9106877555556,NA,NA,45.7502387777778,NA,NA,NA,NA,NA,NA,NA
360,"IDN","Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.1869269111111,NA,NA,59.3173306,NA,NA,NA,NA,NA,NA,NA
364,"IRN","Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.4243615555556,NA,NA,50.1715817333333,NA,NA,NA,NA,NA,NA,NA
368,"IRQ","Iraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.5422113333333,NA,NA,84.2465578444444,NA,NA,NA,NA,NA,NA,NA
372,"IRL","Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.7819519777778,NA,NA,80.9252769111111,NA,NA,NA,NA,NA,NA,NA
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7777777777778,NA,NA,77.7777777777778,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2350792,NA,NA,45.2350448,NA,NA,NA,NA,NA,NA,NA
380,"ITA","Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.6927307333333,NA,NA,61.2299835777778,NA,NA,NA,NA,NA,NA,NA
388,"JAM","Jamaica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.5691328444444,NA,NA,55.5918648888889,NA,NA,NA,NA,NA,NA,NA
392,"JPN","Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3631864222222,NA,NA,38.4511480888889,NA,NA,NA,NA,NA,NA,NA
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7777777777778,NA,NA,77.7777777777778,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.6252857333333,NA,NA,49.8735394,NA,NA,NA,NA,NA,NA,NA
398,"KAZ","Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5635869333333,NA,NA,66.4013404666667,NA,NA,NA,NA,NA,NA,NA
404,"KEN","Kenya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.2077604222222,NA,NA,83.8261134888889,NA,NA,NA,NA,NA,NA,NA
296,"KIR","Kiribati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7777777777778,NA,NA,77.7777777777778,NA,NA,NA,NA,NA,NA,NA
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.0941094666667,NA,NA,41.6818650666667,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.2623679555556,NA,NA,74.9751928,NA,NA,NA,NA,NA,NA,NA
417,"KGZ","Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.6866059777778,NA,NA,51.7516313777778,NA,NA,NA,NA,NA,NA,NA
418,"LAO","Laos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.2044684222222,NA,NA,72.2324563333333,NA,NA,NA,NA,NA,NA,NA
428,"LVA","Latvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.1026375555556,NA,NA,73.4071424222222,NA,NA,NA,NA,NA,NA,NA
422,"LBN","Lebanon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2740738666667,NA,NA,37.5419547555556,NA,NA,NA,NA,NA,NA,NA
426,"LSO","Lesotho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.9004000666667,NA,NA,83.9690734444444,NA,NA,NA,NA,NA,NA,NA
430,"LBR","Liberia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.6875258888889,NA,NA,49.8095085777778,NA,NA,NA,NA,NA,NA,NA
434,"LBY","Libya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7883235111111,NA,NA,67.1939204,NA,NA,NA,NA,NA,NA,NA
