"code","iso","country","RLI.ind.1996","RLI.ind.1997","RLI.ind.1998","RLI.ind.1999","RLI.ind.2000","RLI.ind.2001","RLI.ind.2002","RLI.ind.2003","RLI.ind.2004","RLI.ind.2005","RLI.ind.2006","RLI.ind.2007","RLI.ind.2008","RLI.ind.2009","RLI.ind.2010","RLI.ind.2011","RLI.ind.2012","RLI.ind.2013","RLI.ind.2014","RLI.ind.2015","RLI.ind.2016","RLI.ind.2017","RLI.ind.2018","RLI.ind.2019","RLI.ind.2020","RLI.ind.2021","RLI.ind.2022","RLI.ind.2023","RLI.ind.2024","RLI.ind.2025"
148,"TCD","Chad",NA,NA,NA,NA,86.2348347488372,86.0739515645085,85.8841094070007,85.7167908952988,85.526948737791,85.3403242439697,85.1601350775215,84.9799459110734,84.8351510451776,84.6002615960577,84.4104194385499,84.2237949447286,84.0436057782804,83.8827225939518,83.7668867012351,83.6574861358916,83.525561924742,83.4258143504583,83.2874548119356,83.1780542465921,83.0557830265023,82.9496001248454,82.8208935773824,82.7468873125912,82.6213984288148,82.5119978634713
152,"CHL","Chile",NA,NA,NA,NA,39.6430645672484,39.4725283918599,39.3373865170238,39.1958093148146,39.0703204310382,38.9126549103961,38.8064720087391,38.5876708780521,38.166156935111,37.6802897184383,37.0399746448101,36.2065997499875,35.4954960752547,34.6878624899247,33.8480522677289,33.1176426108766,32.3743622992781,31.4927224491569,30.7397891464986,29.9482438796015,29.2435755322418,28.4809892385238,27.6830086442535,26.8013687941323,26.1224417562652,25.1925369508453
156,"CHN","China",NA,NA,NA,NA,62.3629878581461,61.7934613856225,61.2786351957707,60.7831149880383,60.287594780306,59.7920745725736,59.3448193201398,58.8589521034672,58.41491451472,57.4753567182404,56.7674707071942,55.9920137587299,55.2487334471314,54.4829294897268,53.6913842228296,52.8290503548279,51.9699341505126,51.2717011305261,50.4994618457484,49.7722698525827,48.9710715946258,48.3017975478185,47.4877286351153,46.7927132788154,45.8853321192016,45.1452694712896
170,"COL","Colombia",NA,NA,NA,NA,40.9655243424302,39.2537272611729,37.6835073821249,36.0199752561662,34.700733144671,33.0275480276526,31.7083059161573,30.1284330460496,29.0505157110473,28.6450900865391,28.3651533458071,28.2396644620307,28.0369516497766,27.8567624833284,27.6508320073877,27.4963841504322,27.3033243292378,27.1295704901628,26.9397283326549,26.7402331840873,26.5375203718332,26.3412428869522,26.1674890478772,26.0033881998619,25.852158006593,25.6848394948911
174,"COM","Comoros",NA,NA,NA,NA,38.452529003216,38.1243273071855,37.9827501049763,38.0953683340064,38.2079865630364,38.1790275898573,38.2079865630364,38.1243273071855,38.0213620692151,37.7317723374235,36.859785478362,35.9556219824348,35.1125940965524,34.1376419995205,33.4233206611012,32.5416808109799,31.1226911252009,30.4566347420801,29.5653419008992,28.7126610239571,27.9114627660002,26.704838883535,25.3855967720398,24.7549346894713,23.4646515511552,22.4510874898845
184,"COK","Cook Islands",NA,NA,NA,NA,49.8494937810605,49.9299353732248,50.0489889296281,50.2195251050165,50.3385786614197,50.570250446853,50.8373165328387,50.8276635417789,50.4383262357035,49.4730271297314,48.2696209109528,46.8216722519945,45.2385817182002,43.9997811988693,42.9025578817476,41.3001613658339,39.5304463382183,38.2980811462605,36.9370094068398,35.463319438389,34.201995273252,32.7089993226818,31.1355617799472,29.8999789243028,28.7190963513302,27.1038291806702
188,"CRI","Costa Rica",NA,NA,NA,NA,61.1434933209346,59.6311913882449,58.4310028331529,57.3659561528969,56.3556097553128,55.40961663146,54.7049482841004,54.2287340584875,53.2827409346347,52.767914744783,51.8894925583483,50.9885467261076,50.1873484681507,48.8101884102972,48.4691160595203,47.7547947211009,47.2431861949357,46.7476659872033,46.5353001838895,46.51599420177,46.7251423413973,47.037255718995,47.0308203916218,46.9922084273829,46.9889907636964,46.9986437547561
384,"CIV","Cote d'Ivoire",NA,NA,NA,NA,70.1658222980876,70.1272103338487,70.1046866880426,70.0821630422367,70.0467687416843,70.0017214500723,69.9695448132066,69.9180621942214,69.8858855573557,69.8504912568033,69.8086616288779,69.770049664639,69.6992610635344,69.5995134892506,69.5062012423399,69.3935830133099,69.3131414211455,69.2391351563543,69.1522582368168,69.1329522546974,69.1168639362645,69.0621636535928,69.0492929988465,69.0685989809659,69.0428576714733,69.0718166446525
191,"HRV","Croatia",NA,NA,NA,NA,65.081913673301,63.820589508164,62.5657006704002,61.2593292136513,59.9947873848277,58.6755452733325,57.2790792333594,55.8440012291475,54.6759893109212,53.5852013211727,52.767914744783,52.0535934063636,51.1783888836155,50.4254555809572,49.6693046146124,48.9614186035661,48.1891793187884,47.4491166708764,46.7508836508899,45.8628084733955,44.9811686232743,44.2121470021832,43.4720843542712,42.6483624505083,41.9951767221338,41.2583317379084
192,"CUB","Cuba",NA,NA,NA,NA,14.8155715616448,13.5285060870153,11.3244064617122,9.66087433575352,7.76245276067497,5.97664941462652,4.22945803281692,2.33747178511152,0.879870135093566,0.651416013346829,0.500185820077869,0.377914599988048,0.28460235307744,0.181637115107046,0.104413186629304,0.0336245855246809,0,0,0,0,0,0,0,0,0,0
