iso,country,BCA,BER,BHI,BTO,BTZ,CDA,CHA,COE,FCD,FGA,GEL,GHO,GTI,GTP,HFD,HPE,KFL,KGL,LUF,MHP,MKP,MPE,NDA,NOD,NXA,OEB,OEC,OZD,PAC,PAE,PAR,PBD,PHL,PMD,PRS,PSU,RCY,RLI,RMS,SDA,SHI,SMW,SNM,SOE,SPI,TBN,TCL,TKP,USD,UWD,VOE,WWT
CYM,Cayman Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2043255549264,11.2903225806452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.0475474162965,NA,NA,NA,NA,NA,NA,7.69,30.6872870137648,NA,29.461863403189,NA,NA,NA,NA
CAF,Central African Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.0659347554334,NA,NA,44.6224000000001,NA,NA,NA,66.76,39.7532766365133,NA,67.5388894183479,NA,NA,NA,NA
TCD,Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.5119978634713,NA,NA,79.5664,NA,NA,NA,72.02,61.48466009488,NA,71.8498174200053,NA,NA,NA,NA
CHL,Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3053303604562,15.7929661579297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1925369508453,NA,NA,63.2025,NA,NA,NA,29.9,56.1272899319937,NA,58.5084623571486,NA,NA,NA,NA
CHN,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.96949710142039,18.3478823149046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1452694712896,NA,NA,71.9104000000001,NA,NA,NA,10,2.89476971071507,NA,3.97872702176329,NA,NA,NA,NA
COL,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6445189859368,97.5252203345129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6848394948911,NA,NA,24.3049000000001,NA,NA,NA,53.34,85.852019322467,NA,84.5298624685338,NA,NA,NA,NA
COM,Comoros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3458694450669,11.7685589519651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4510874898845,NA,NA,NA,NA,NA,NA,40.55,100,NA,41.1195596999166,NA,NA,NA,NA
COK,Cook Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.4579151543414,99.6248373018911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1038291806702,NA,NA,NA,NA,NA,NA,1.54,2.95746345001657,NA,99.4439416284207,NA,NA,NA,NA
CRI,Costa Rica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9705538668865,83.1309398099261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.9986437547561,NA,NA,55.8009,NA,NA,NA,57.36,84.8091953032573,NA,52.0354970655752,NA,NA,NA,NA
CIV,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.0718166446525,NA,NA,11.8336,NA,NA,NA,85.33,75.728106709604,NA,93.598329928591,NA,NA,NA,NA
