"code","iso","country","PAR.raw.2000","PAR.raw.2001","PAR.raw.2002","PAR.raw.2003","PAR.raw.2004","PAR.raw.2005","PAR.raw.2006","PAR.raw.2007","PAR.raw.2008","PAR.raw.2009","PAR.raw.2010","PAR.raw.2011","PAR.raw.2012","PAR.raw.2013","PAR.raw.2014","PAR.raw.2015","PAR.raw.2016","PAR.raw.2017","PAR.raw.2018","PAR.raw.2019","PAR.raw.2020","PAR.raw.2021","PAR.raw.2022","PAR.raw.2023","PAR.raw.2024"
204,"BEN","Benin",0.153702389414603,0.15465002813301,0.15770603879526,0.157884689448011,0.160695497708067,0.161429371610382,0.162466762116531,0.164308148848156,0.165835869050976,0.168086221,0.168455725900417,0.168533604990151,0.169108150235351,0.169210087874295,0.169925129410343,0.170272068107597,0.170539037,0.171749090997948,0.171860624510674,0.172155970626437,0.172570779549671,0.172828319309663,0.172970324863494,0.172998435884252,0.173347296393222
60,"BMU","Bermuda",0.042739788,0.04283965,0.042911732,0.042991281,0.043039579,0.043151193,0.043211338,0.043307947,0.043833992,0.043962181,0.044078922,0.044147354,0.044205435,0.044250993,0.044263165,0.044394411,0.044708769,0.044713742,0.044716967,0.04473779,0.044738089,0.044738771,0.044738771,0.044739097,0.044739097
64,"BTN","Bhutan",0.131381518191296,0.131663258644806,0.132294825016021,0.13558139665939,0.145125721739141,0.145310664015129,0.145734047869121,0.146535406689088,0.16481599209039,0.164923468720506,0.180355452687418,0.180557451,0.180752221412065,0.180843804033647,0.181194414375596,0.181199359564076,0.183750059628677,0.184087139440386,0.184347080683514,0.1854014366398,0.186138066148637,0.18631507308031,0.186472381,0.190695257493881,0.190697111679823
68,"BOL","Bolivia",0.1099609385583,0.117714002008752,0.124314336455496,0.125037119,0.13021952204739,0.133603772294122,0.134920802236856,0.142429732458456,0.14428515127966,0.146756385897099,0.148853856011342,0.149427248297047,0.149457426702431,0.149466099461968,0.149589801356637,0.149787369008154,0.150097498,0.150240780384187,0.150654373804205,0.15079618446271,0.150835017008233,0.151101549804554,0.151160162395074,0.151964266181249,0.151967450999336
70,"BIH","Bosnia and Herzegovina",0.0913069,0.095003641,0.098512237,0.101431439661087,0.109066630516993,0.111116115709522,0.112762733033622,0.120921316847465,0.124158707845776,0.127328445610906,0.129403657670193,0.131889782706087,0.132764410874026,0.141985083852684,0.147124465714977,0.149379531003176,0.151098132242641,0.152515511148698,0.155315538211749,0.157069244086669,0.158896213915851,0.162631687231885,0.165924658345616,0.16768227,0.168277287923849
72,"BWA","Botswana",0.157642642849935,0.160214366917159,0.166145104664503,0.170782381064821,0.171575921936813,0.178373162403572,0.183479199124305,0.184897065087668,0.186992447,0.191056183049859,0.191477629088927,0.203658170942091,0.204516738,0.205196421442114,0.205539342473133,0.206159455206911,0.206715247749544,0.207051962813748,0.2080932901713,0.21342501267311,0.213644670917244,0.213673119,0.213924695112538,0.214008442832593,0.214081922208344
76,"BRA","Brazil",0.0777295,0.086668215,0.09734639,0.101036030259121,0.107158781615751,0.113468162020769,0.128800900365312,0.132640365612687,0.137525650114218,0.143937919980184,0.147965058318337,0.150022516464229,0.150352499779224,0.150702843539998,0.151639981103108,0.153245042354464,0.154808384854537,0.156003272626224,0.159962815,0.160147702526726,0.160468511107295,0.160588427034686,0.162153891572728,0.162425254624557,0.16245016672449
92,"VGB","British Virgin Islands",0.184383441245875,0.199833983163088,0.200939435040452,0.203557372547037,0.21545024,0.222711617937829,0.224628886528286,0.225708257807963,0.227002664000517,0.231535573383931,0.23303426514948,0.234207173649383,0.234627542408381,0.234802692960978,0.235353165263107,0.236695194297304,0.237302267356131,0.237594966138242,0.237978647580987,0.238118720187676,0.238154496704706,0.238472308417871,0.238972870852214,0.239025526419626,0.239033354477305
96,"BRN","Brunei Darussalam",0.058463881,0.058782472,0.059175258,0.059234708,0.059388146,0.059969733,0.060363124,0.06116758,0.061398533,0.06177932,0.062605036,0.063792958,0.064511259,0.066455097,0.070632119,0.071802122,0.072802219,0.073296647,0.074215017,0.074231354,0.074234071,0.074261169,0.074262853,0.074262854,0.074262854
100,"BGR","Bulgaria",0.062634681,0.066695469,0.096307374,0.098042431,0.101364378609502,0.103978567,0.104956801844425,0.136336961055062,0.140761381120382,0.143355276757025,0.145575566963884,0.1486930714208,0.149223089109271,0.151232225077498,0.152594198267001,0.154194795077487,0.155835060086431,0.156835511458699,0.159151021060745,0.160296646254779,0.165136192276396,0.181234403437944,0.182976912714418,0.188257705258406,0.188627190011001
