"code","iso","country","PSU.raw.1965","PSU.raw.1966","PSU.raw.1967","PSU.raw.1968","PSU.raw.1969","PSU.raw.1970","PSU.raw.1971","PSU.raw.1972","PSU.raw.1973","PSU.raw.1974","PSU.raw.1975","PSU.raw.1976","PSU.raw.1977","PSU.raw.1978","PSU.raw.1979","PSU.raw.1980","PSU.raw.1981","PSU.raw.1982","PSU.raw.1983","PSU.raw.1984","PSU.raw.1985","PSU.raw.1986","PSU.raw.1987","PSU.raw.1988","PSU.raw.1989","PSU.raw.1990","PSU.raw.1991","PSU.raw.1992","PSU.raw.1993","PSU.raw.1994","PSU.raw.1995","PSU.raw.1996","PSU.raw.1997","PSU.raw.1998","PSU.raw.1999","PSU.raw.2000","PSU.raw.2001","PSU.raw.2002","PSU.raw.2003","PSU.raw.2004","PSU.raw.2005","PSU.raw.2006","PSU.raw.2007","PSU.raw.2008","PSU.raw.2009","PSU.raw.2010","PSU.raw.2011","PSU.raw.2012","PSU.raw.2013","PSU.raw.2014","PSU.raw.2015","PSU.raw.2016","PSU.raw.2017","PSU.raw.2018","PSU.raw.2019","PSU.raw.2020","PSU.raw.2021","PSU.raw.2022","PSU.raw.2023"
140,"CAF","Central African Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00684,0.00684,0.01064,0.0366,0.0916,0.1422,0.22014,0.28084,0.3139,0.30008,0.27946,0.25464,0.26822,0.29214,0.3238,0.38506,0.4599,0.51572,0.56088,0.61438,0.63946,0.70304,0.76388,0.69628,0.61248,0.49154,0.41142,0.26784,0.25522,0.21362,0.2114,0.09998,0.04882,0.000939999999999941,0,0,0
148,"TCD","Chad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,"CHL","Chile",2.73938,3.1576,3.33696,3.70816,4.18312,4.62732,4.83978,4.9263,5.4116,5.63848,5.11468,4.75284,4.52316,3.9167,3.49104,3.8322,3.89086,3.96898,4.04788,4.2098,4.37906,5.03986,5.96832,6.75186,7.4267,8.10506,8.50904,9.26258,10.42824,11.67148,13.15064,15.03384,16.70932,18.1474,19.91776,21.40334,22.38684,22.23354,22.48108,22.65076,22.4728,22.18096,23.95028,23.1476,21.3453,20.62262,19.69062,17.73012,17.3036,18.03684,17.9025,17.60202,17.55792,17.61668,16.89828,17.22224,18.17666,16.17302,15.70556
156,"CHN","China",0.0602600000000001,0.27274,0.27274,0.27274,0.40204,0.41482,0.45626,1.05394,1.83934,2.21054,2.70796,2.97716,3.2599,2.63422,2.81448,3.63156,4.5164,5.16994,6.69794,7.3955,6.82146,6.2711,6.5421,7.16202,8.16022,9.83372,12.43474,13.91842,13.9696,15.22894,17.39946,18.01498,19.35862,21.7309,22.55036,22.30232,22.75042,23.4814,23.79966,24.8047,26.29894,27.81776,27.31136,27.2399,28.12722,29.47418,30.0826,31.89778,33.53476,33.51376,31.93106,30.89086,29.42156,27.40684,25.01718,23.3059,21.58754,19.89456,18.60876
170,"COL","Colombia",4.88478,4.93658,5.32368,5.26314,5.30334,5.29714,5.42438,5.5018,5.95506,6.22834,6.12158,6.01924,6.00218,5.52542,5.31256,5.4362,5.42248,5.6293,6.08172,6.53496,6.8543,7.47008,7.99764,8.56364,9.25592,10.16434,10.86942,10.97696,11.43238,11.43412,11.78362,12.52622,13.74046,14.63722,15.4507,16.11354,16.76248,17.90826,18.84378,20.61906,22.2139,23.81906,24.21092,24.56102,24.99822,26.40062,27.37448,29.87564,31.62992,33.10918,32.54104,32.26572,30.83736,28.8522,26.20722,24.8989,23.99052,21.94426,21.9233
174,"COM","Comoros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,"COK","Cook Islands",0.0428599999999999,0.04194,0.01334,0,0,0,0,0,0,0,0,0.52962,1.13038,1.8178,2.18034,2.70038,2.4622,2.15726,2.1768,2.27572,2.2258,2.4855,3.10518,2.6779,2.8179,3.24654,3.37492,3.5524,4.8517,6.2724,7.66112,10.05182,12.17048,14.03564,15.62468,16.6339,16.33156,16.64042,18.13752,20.37776,23.37568,26.92736,29.56502,31.79388,33.60088,35.0462,36.965,39.00648,40.01122,40.45292,41.47362,41.11968,40.55318,40.20786,39.30692,37.03144,35.00758,32.94692,30.48864
188,"CRI","Costa Rica",6.17562,5.36196,5.01676,4.9181,4.99174,5.29036,7.2374,8.0362,9.37792,10.43798,11.96628,11.13028,10.98818,10.32468,10.36186,9.74546,9.61472,10.11172,10.51312,11.10408,10.83864,11.24388,10.55638,10.85814,10.48248,11.1641,11.64214,12.78286,13.1883,15.1913,15.95342,18.10028,20.78758,23.91844,25.2117,27.21384,26.02062,25.03342,23.79966,22.40628,21.25092,21.87836,22.01258,20.84978,19.953,18.90072,18.89736,18.14904,17.65386,18.3821,19.33274,17.10048,17.55876,18.64678,17.82364,16.9902,18.5859,16.2677,15.02858
384,"CIV","Cote d'Ivoire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,"HRV","Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7618,12.59655,12.7184,11.7886,11.89898,12.04824,10.78876,9.99718,11.37042,11.07794,10.01912,12.44922,13.06162,13.8567,15.48204,17.95744,17.58548,16.13166,15.29912,14.44668,11.55966,8.8239,9.12868,6.64638,3.69786,3.36658,3.3133,2.18428,1.67872,2.09778,1.76704,1.71782
