"code","iso","country","CHA.raw.2005","CHA.raw.2006","CHA.raw.2007","CHA.raw.2008","CHA.raw.2009","CHA.raw.2010","CHA.raw.2011","CHA.raw.2012","CHA.raw.2013","CHA.raw.2014","CHA.raw.2015","CHA.raw.2016","CHA.raw.2017","CHA.raw.2018","CHA.raw.2019","CHA.raw.2020","CHA.raw.2021","CHA.raw.2022","CHA.raw.2023","CHA.raw.2024"
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0644652052630226,0.0644666176625781,0.0637371631662187,0.0648239978998624,0.0612350648755535,0.0529341670541448,0.0414667594629652,0.0399096254873197,0.0290311673007893,0.0329136080271097,0.0346403298729152
132,"CPV","Cabo Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0153048686855217,0.0169083498382407,0.01759144824658,0.0131034853155629,0.00773561451558002,0.00523220232714161,0.005531184281516,0.00653936435306837,0.0106021636373452,0.0135149362332467,0.0166557551922262
116,"KHM","Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0203521561761157,0.0156740951530923,0.013065025326334,0.0116606563922541,0.010756092734838,0.00978648410745775,0.00892985337100938,0.0124878787342924,0.0119226255918083,0.0131080125902392,0.0136918411937723
120,"CMR","Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00476780566984947,0.0201787324637228,0.0301376369602189,0.0318951640459706,0.0296792083491892,0.028447559412621,0.0229889478204408,0.0149529097812693,0.0067368761140203,-0.000151881326975412,-0.00396378899184135
124,"CAN","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000717925242592621,0.00332707599921789,0.00532448927917994,0.00737912414635966,0.00885046521622201,0.00643314454666988,-0.00231217579528437,-0.00886485343827259,-0.0114443830518522,-0.0120962671904462,-0.00887543058025697
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0119513746266291,0.0105430064948995,0.0114605913526553,0.0144811461431993,0.0162156831841755,0.0179788191690999,0.0200192616462209,0.021036713343435,0.021151245906694,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0372046549049532,0.0266895441627532,0.0141745919856596,0.0112264705620997,0.00824803132629465,0.00739167311752486,0.00876104301948991,0.0119520338116303,0.0123709707047315,0.0154472303936874,0.017692088032397
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0501863630447303,0.0530545716343167,0.0550173438454782,0.0562886451165461,0.0571940008188128,0.0579067564182509,0.0585285029269436,0.0576666232858456,0.0569829884309601,0.0560891643669226,0.0543300241221387
152,"CHL","Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00656694267005542,0.00241492676645461,-0.00129075341873119,-0.000790156189125327,0.00351714110574686,0.00776956420313435,0.00684394558227219,0.00545788590756136,0.00744096654009674,0.00954333039252431,0.00761361535805061
156,"CHN","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0251126224038751,0.0222913565714329,0.017916039276638,0.0134791352279346,0.00925571105768763,0.00442893405770439,0.00106380464565925,0.00186697473503039,0.00230924851702752,0.0033935347020928,0.00434377190268176
170,"COL","Colombia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00712118912018878,0.00260776064122958,-0.000775410746380101,-0.00114625285189796,0.0011292474759621,0.00544240127952222,0.0103485844752043,0.0156052681809939,0.0187812474904925,0.0210594018092112,0.0197280437998371
