"code","iso","country","CDR.raw.1990","CDR.raw.1991","CDR.raw.1992","CDR.raw.1993","CDR.raw.1994","CDR.raw.1995","CDR.raw.1996","CDR.raw.1997","CDR.raw.1998","CDR.raw.1999","CDR.raw.2000","CDR.raw.2001","CDR.raw.2002","CDR.raw.2003","CDR.raw.2004","CDR.raw.2005","CDR.raw.2006","CDR.raw.2007","CDR.raw.2008","CDR.raw.2009","CDR.raw.2010","CDR.raw.2011","CDR.raw.2012","CDR.raw.2013","CDR.raw.2014","CDR.raw.2015","CDR.raw.2016","CDR.raw.2017","CDR.raw.2018","CDR.raw.2019","CDR.raw.2020","CDR.raw.2021","CDR.raw.2022","CDR.raw.2023","CDR.raw.2024"
600,"PRY","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.981858346617986,0.963480721740577,0.948225151878796,0.908179300516194,0.804965514574588,0.59974061497211,0.30533807533238,0.0832158693480063,0.136079537495688,0.468048016572998,0.82316434652837,0.888624634936545,0.917906628210899,0.938473430349868,0.95374409837155,0.96840859122759,0.966930056890924,0.926677142432145,0.921712835834239,0.927496128331743,0.946407557787299,0.944566810947417,0.947957929440418,0.925481798096938,0.784955142075951,0.579807865702736
604,"PER","Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.944739945292311,0.94589943872554,0.838850069022505,0.584378372326629,0.202552834907461,0.15845320106352,0.347132944333771,0.209052546085508,0.623633767430425,0.796526673889775,0.907709461433118,0.964073913984332,0.969372619433755,0.973234790964503,0.939859320320651,0.942001453404159,0.941438530753094,0.944252721124763,0.939089841023856,0.938786248309881,0.94172097077315,0.932475191781287,0.940608732464077,0.967311144727233,0.957533797867853,0.975017088104642
608,"PHL","Philippines",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.967357626489648,0.975703842223996,0.963164585128699,0.91856269919702,0.838763011042764,0.783504858903197,0.728897856384497,0.12124200388931,0.140978046984711,0.408275635406223,0.460458562674292,0.705432016124365,0.800999825148978,0.873821487727276,0.924436277517951,0.969871163567245,0.992235186211276,0.992201989853245,0.989878166775544,0.994088993888969,0.992596967747046,0.993055003024899,0.992113538085583,0.990821032079546,0.990287942710451,0.990238919954803
616,"POL","Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.697587594024281,-0.779664602376008,-0.811558953043455,-0.860163181239517,-0.876441610349373,-0.857367503900102,-0.778696930809912,-0.389240913794065,0.287249921275471,0.645804641067063,0.566121020088314,0.626511443684933,0.602774923958544,0.330136363140824,-0.00743367556334036,-0.409074298809956,-0.718246438865001,-0.566208031753723,-0.0287899501479673,0.301634757956293,-0.0282001164234135,-0.167458804134993,0.131551699022748,0.0770909203999247,-0.269723735949075,-0.588720054486806
620,"PRT","Portugal",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.940517072629912,0.948843728725717,0.953547370685704,0.958444784520599,0.944161964627891,0.931563961182229,0.944598483411674,0.832086539600979,0.325722276586585,-0.53251500933416,-0.525011687434178,-0.603896174219401,-0.521714114993227,-0.0362938948656656,0.341470393117125,0.566793038186727,0.779115636778747,0.8536436222214,0.831526833759097,0.56217769081749,0.16414690352016,0.108772717830105,-0.139082016662597,-0.371156725888594,-0.586439131953097,-0.723087946041208
634,"QAT","Qatar",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.687291829053724,0.741397396657823,0.83862423015242,0.875440238293396,0.88145556024088,0.868885547687046,0.835681099234656,0.901899727376179,0.939012185480453,0.936659288665181,0.958898301821898,0.97750173559368,0.984000451148928,0.970342395864507,0.974464819800921,0.972884941887555,0.966048697597619,0.961859109031128,0.94002617184594,0.917780357212182,0.859971164741981,0.731575736546677,0.543515615135094,0.659721879293467,0.746765952158664,0.837510861866639
178,"COG","Republic of Congo",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.456078562418846,0.437071239317667,0.410996153962327,0.107318454715692,-0.270314547794939,-0.442564349699087,-0.330570678380356,0.0750532897912695,0.363240320373911,0.418942977658147,0.625133299540332,0.8469488052859,0.901222825554813,0.850867932825087,0.870692390392371,0.850384240715336,0.846880893848656,0.84739825343635,0.734328854106648,0.126350203923026,-0.347526098411296,-0.62345982498854,-0.822663634869082,-0.79009579913648,-0.770796168725212,-0.644482689210688
642,"ROU","Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.582215295575444,-0.0878589493531784,-0.283043695968889,-0.220521154423481,-0.123173230935573,-0.0568003488140965,-0.0245017599479594,0.148746214885283,0.684918343436719,0.847579655579634,0.254359171164156,-0.12142126445822,-0.238778627399528,-0.360631982599859,-0.391767497521957,-0.434484260378256,-0.507069287660896,-0.482500134597005,-0.370753021985606,-0.565408561986348,-0.582629872777463,-0.632991468277706,-0.527342786298111,-0.551801779228016,-0.661485159709919,-0.709004693001755
643,"RUS","Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.992308034984589,0.96177840030224,0.813608291964944,0.436750975408551,-0.00056845415561956,0.127515089385581,0.519170572027323,0.958670341313775,0.969709123524243,0.974209927777166,0.893329575697145,0.879322880922869,0.87818802901547,0.868370660500003,0.804773777934651,0.686173699895406,0.521176748220834,0.538733562288061,0.559258086039498,0.668807511130425,0.435213714579861,0.187686624876522,0.412313820452775,0.66197008388435,0.77370769447783,0.86936070042714
646,"RWA","Rwanda",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.664587893213842,0.694486397569645,0.809762789897087,0.879812735591818,0.870694768905276,0.86033040448297,0.778472053861247,0.663694995859451,0.722648826056643,0.721569966863271,0.782879730433868,0.862761382011921,0.885903420893184,0.896772371938541,0.914864210183591,0.946969297706537,0.962018683881992,0.975470398457424,0.987322161388003,0.991210542177261,0.995337821945561,0.995979153689269,0.993503230548845,0.991601507564444,0.991774960820668,0.974783319585584
