"code","iso","country","GDP.raw.1990","GDP.raw.1991","GDP.raw.1992","GDP.raw.1993","GDP.raw.1994","GDP.raw.1995","GDP.raw.1996","GDP.raw.1997","GDP.raw.1998","GDP.raw.1999","GDP.raw.2000","GDP.raw.2001","GDP.raw.2002","GDP.raw.2003","GDP.raw.2004","GDP.raw.2005","GDP.raw.2006","GDP.raw.2007","GDP.raw.2008","GDP.raw.2009","GDP.raw.2010","GDP.raw.2011","GDP.raw.2012","GDP.raw.2013","GDP.raw.2014","GDP.raw.2015","GDP.raw.2016","GDP.raw.2017","GDP.raw.2018","GDP.raw.2019","GDP.raw.2020","GDP.raw.2021","GDP.raw.2022","GDP.raw.2023","GDP.raw.2024"
410,"KOR","South Korea",616369574721.637,683399605271.327,726806359900.876,777644414581.851,850523972035.444,933330082275.695,1007907167538.05,1071225837574.18,1018318746032.03,1136619512488.4,1241209630438.5,1299868398274.03,1400530193429.29,1443592668083.56,1518423269730.75,1584599749529.16,1667712093636.92,1765139223629,1818171146191.44,1833077636085.29,1961056909625.65,2033381317173.28,2085185071589.9,2153816768676.79,2223055089815.47,2287974804720.38,2360538554612.69,2441580369855.04,2519127786865.1,2577415418649.28,2559367265189.04,2677430056971.27,2750458690513.83,2793998855187.97,2849979724104.21
728,"SSD","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28509371266.1843,14163718499.3254,18025974815.5717,18306569954.5537,18264028110.9016,15835522440.2926,14917704792.1384,14597283246.3331,14722193340.4606,13766359576.7025,14500432666.1038,13748256664.5101,14158287625.6677,10457147227.9337
724,"ESP","Spain",1234940234760.49,1266381819268.65,1278149235206.2,1264965230180.97,1295111823093.72,1330824453946.84,1365524519426.81,1414509976737.39,1475361877011.82,1540408597115,1620519722120.44,1684029329182.92,1730432018323.08,1781294426591.52,1836773402257.71,1902001369250.04,1978907561282.87,2048832262566.22,2064550201924.56,1986755203031.46,1988625182955.12,1975899560026.35,1919287791302.97,1891893369662.68,1920659342281.46,1998654758407.75,2056918662236.11,2116487892218.07,2167186481182.85,2209688876689.13,1967947352764.79,2099468112223.22,2233210888832.33,2288167036933.65,2367229021292.26
144,"LKA","Sri Lanka",74593031179.7532,78024301098.9686,81457363521.6164,87077973127.6079,91954268850.2198,97011832013.4292,100698249815.571,107148375202.845,112182659158.634,117007119847.634,124027585836.052,122110853436.559,126952152751.664,134493452225.455,141816703115.177,150668544407.599,162222248195.881,173248212331.972,183556633674.909,190052541508.439,205287091222.659,223084420721.896,242341472541.607,252160534262.055,268243279924.529,279525472841.473,293651641710.724,312623538327.707,319845405465.473,319140197883.651,304381511441.83,317188291991.223,293877512197.936,287030612299.665,301407170002.3
670,"VCT","St. Vincent and the Grenadines",834942552.411752,844423952.97463,898280811.336218,936464310.220364,924780762.686118,996605250.052854,1009440648.69222,1044823066.3993,1087558366.52268,1117034577.4395,1135343130.54182,1155191551.33668,1216903351.96143,1298330451.98924,1351752839.57502,1385391984.07456,1482326839.71733,1531584095.12521,1537781509.39271,1516587902.96207,1448789327.05288,1440005655.63378,1456840937.20069,1492715414.69273,1509817861.03478,1551867766.84255,1616265328.78124,1641286760.33628,1693407650.5001,1704726869.5369,1631953369.20067,1666116701.3437,1717946809.56485,1809450922.35483,1882947831.4265
275,"PSE","State of Palestine",NA,NA,NA,NA,9386367656.98158,10054476156.2032,10176591543.0054,11669257281.6831,13341941143.7622,14446732781.5029,13210732057.9429,11980670076.5981,10484478209.7301,11953945736.6292,14574786910.5204,16220375261.2422,16058730121.5694,16667080027.2496,17905307779.1404,19443998769.9867,20567348977.1502,22541980763.7387,23916242829.4988,25039964208.0507,25000434455.1801,25930775540.3463,28229439949.0572,28630119462.896,28981433182.0701,29376359539.3877,26051406241.5946,27878126229.8832,29016323292.585,27694396392.5972,20339449744.6379
729,"SDN","Sudan",65832468679.7624,70777086386.0803,75432705020.8956,78879036120.1912,79672740052.0811,84450787779.4826,89449534427.2469,105830121020.512,110389816288.017,113816421735.368,121039060983.618,128907036334.483,136649800780.219,145243444604.311,152710248170.58,161328474716.694,171865501665.239,181722459503.926,188712858640.32,183489844612.545,190569326775.598,184445320301.139,153080968306.52,156073922642.547,163349120543.47,166469377694.971,172241940059.519,173463576844.394,168813138819.997,165135964859.046,159141858245.694,156168260027.791,154672454523.183,109147290533.351,93905594489.6469
740,"SUR","Suriname",7069161061.59114,7260028349.1341,7289068463.15037,6800701010.98782,7031924770.37419,7031924770.37419,7102244104.06534,7507071853.45901,7679734630.03437,7572218309.11467,7731234807.85108,8055946702.3166,8281513265.44721,8803248554.22591,9551524697.603,9981343329.13633,10559616805.2417,11099370327.6172,11559262393.8227,11907623766.9886,12523108019.2929,13255630651.2693,13612253476.9177,14011560990.1665,14047360953.2772,13567918528.4332,12901508432.171,13103550934.2593,13751950156.2068,13912516519.7278,11689965333.3394,11405269573.3629,11679705719.6006,11961956581.0891,12167816754.4816
752,"SWE","Sweden",347054832408.766,343077671311.877,339102798251.318,332098235342.617,345434522895.898,359577959208.231,365707756068.536,376916669038.026,392919916809.602,409426951260.593,428388010276.594,434217541852.683,444107839331.056,452461630792.349,471372645594.314,484538733271.146,507196127304.05,523552533625.666,518719550816.701,496644849810.59,525205726894.285,541822635646.885,539577335093.386,545715926852.692,558244322416.018,582741460673.824,595160725166.443,606366541340.51,617100777507.561,633196185910.926,620951456808.348,653401537327.892,661604576787.992,660254497855.377,665669058844.783
756,"CHE","Switzerland",429865465276.507,425928685916.704,425742414487.746,425206049461.515,430605136437.395,432675771746.154,434714886233.391,444545203934.929,458014787166.894,465630203839.485,484063199415.652,491690399241.363,491330397018.135,491171213705.283,504441231227.387,518311847253.687,539425945956.429,560551893013.236,576292098193.45,563052510335.878,581314539446.072,591854401636.592,598833867469.113,609565832737.812,623889906953.519,634150571985.999,647269179490.259,656090161634.552,674857265070.437,682564014843.147,667945287968.94,705080509164.276,726543590171.716,731508267222.482,741034943164.658
760,"SYR","Syria",73316725295.5848,78937528716.2122,89177928601.8804,94663169864.4364,101491251953.397,108622625650.245,119295417122.728,125288585666.109,133789797737.791,129035644342.546,129907464111.245,131267968227.313,136459395744.727,146290524284.523,156388899832.974,166108591683.508,174490756054.935,184392394149.406,192647038185.698,204036413523.41,214629791994.395,220746747169.405,162604223734.974,119839170351.364,107483344543.95,102990764723.08,96393597835.5808,95696400507.7878,97029619867.4644,98214065502.817,97529361721.3717,99337766654.2033,100065695233.932,NA,NA
158,"TWN","Taiwan",366453042511.809,397132467352.042,430137051958.877,459449499861.072,493926993609.336,526027160322.312,558517713253.682,592315990552.931,617221728257.849,658772992497.916,700369686023.896,690551472631.286,728419074742.984,759191442067.241,811969852736.871,855679980550.153,905056404556.821,967053556543.484,974777716032.231,959048277299.25,1057305570991.94,1096141289247.01,1120485551542.09,1148308419005.28,1202494095582.11,1220112948041.12,1246528480133.37,1292172686857.46,1329716587941.09,1370343498193.94,1417212906362.88,1512454223395.39,1553041400389,1570460336204.5,1646428660739.09
